Year,Weekday,Sunday,Weekday (estimated),Sunday (estimated)
1940,41132000,32371000,,
1945,48384000,39860000,,
1946,50928000,43665000,,
1947,51673000,45151000,,
1948,52285000,46308000,,
1949,52846000,46399000,,
1950,53829000,46582000,,
1951,54018000,46279000,,
1952,53951000,46210000,,
1953,54472000,45949000,,
1954,55072000,46176000,,
1955,56147000,46448000,,
1956,57102000,47162000,,
1957,57805000,47044000,,
1958,57418000,46955000,,
1959,58300000,47848000,,
1960,58882000,47699000,,
1961,59261000,48216000,,
1962,59849000,48888000,,
1963,58905000,46830000,,
1964,60412000,48383000,,
1965,60358000,48600000,,
1966,61397000,49282000,,
1967,61561000,49224000,,
1968,62535000,49693000,,
1969,62060000,49675000,,
1970,62108000,49217000,,
1971,62231000,49665000,,
1972,62510000,50001000,,
1973,63147000,51717000,,
1974,61877000,51679000,,
1975,60655000,51096000,,
1976,60977000,51565000,,
1977,61495000,52429000,,
1978,61990000,53990000,,
1979,62223000,54380000,,
1980,62202000,54676000,,
1981,61431000,55180000,,
1982,62487000,56261000,,
1983,62645000,56747000,,
1984,63340000,57574000,,
1985,62766000,58826000,,
1986,62502000,58925000,,
1987,62826000,60112000,,
1988,62695000,61474000,,
1989,62649000,62008000,,
1990,62328000,62635000,,
1991,60687000,62068000,,
1992,60164000,62160000,,
1993,59812000,62566000,,
1994,59305000,62295000,,
1995,58193000,61229000,,
1996,56983000,60798000,,
1997,56728000,60486000,,
1998,56182000,60066000,,
1999,55979000,59894000,,
2000,55773000,59421000,,
2001,55578000,59090000,,
2002,55186000,58780000,,
2003,55185000,58495000,,
2004,54626000,57754000,,
2005,53345000,55270000,,
2006,52329000,53179000,,
2007,50742000,51246000,,
2008,48597000,49115000,,
2009,45653000,46164000,,
2010,--,--,,
2011,44421000,48510000,,
2012,43433000,44821000,,
2013,40712000,43292000,,
2014,40420000,42751000,,
2015,,,37711860.0,40955458.0
2016,,,34657199.0,37801888.0
2017,,,30948419.0,33971695.0
2018,,,28554137.0,30817351.0
