Unnamed: 0,E-reader,Tablet computer,Desktop/laptop computer
1/13/2008,,,74%
4/19/2009,2%,,
9/14/2009,3%,,
5/30/2010,4%,3%,
6/20/2010,,,78%
9/13/2010,5%,4%,
11/24/2010,6%,5%,
5/22/2011,12%,8%,
8/26/2011,9%,10%,
12/21/2011,10%,10%,75%
1/8/2012,18%,20%,
1/15/2012,19%,19%,78%
2/19/2012,14%,14%,
4/3/2012,18%,18%,
8/5/2012,19%,21%,
8/7/2012,,25%,
11/10/2012,19%,24%,77%
12/16/2012,,29%,
1/6/2013,26%,31%,
5/19/2013,24%,34%,
9/30/2013,24%,34%,
4/12/2015,19%,45%,73%
4/4/2016,17%,48%,74%
11/6/2016,22%,51%,78%
1/10/2018,,53%,73%
2/7/2019,,52%,74%
