id,title,subtitle,credits,dataPath,imgPath,chartType,url,proximity,caption,is_relevant
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,-2,"Before the coronavirus outbreak sent the U.S. economy into a recession, the share of American children living in poverty was on a downward trajectory, reaching record lows across racial and ethnic groups, according to a new Pew Research Center analysis of U.S. Census Bureau data.",TRUE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,-1,"In 2019, the year with the most recently available data, 14% of children under age 18, or 10.5 million children, were living in poverty, down from 22%, or 16.3 million, in 2010. All major racial and ethnic groups saw declines since 2010, but the greatest decreases were in the shares of Black and Hispanic children living in poverty. About two-in-ten Hispanic children (21%) were living in poverty in 2019, down from 35% in 2010. In 2019, 26% of Black children were impoverished, dropping from 39% in 2010. Even so, Black and Hispanic children were still about three times as likely as Asian (7%) and White (8%) children to be living in poverty.",TRUE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,1,"The number of impoverished children also declined across racial and ethnic groups. In particular, the numbers of poor Black and White children reached new lows in 2019 (each around 3 million). While there are about as many White children as Black children living in poverty, it’s worth noting that there are more than three times as many White children as Black children in the U.S.",FALSE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,2,"The greatest decline was in the number of Hispanic children living in poverty. In 2019, 3.9 million Hispanic children were living in poverty, down from 6.1 million impoverished Hispanic children nearly a decade earlier. But there are still more Hispanic children in poverty than any other racial or ethnic group, which has been the case since at least 2007. This is probably because Hispanics are the largest and the youngest racial or ethnic minority population in the U.S. and because the Hispanic child poverty rate is relatively high (21%).",FALSE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,3,"Overall, children are overrepresented among America’s impoverished population. Some 22% of the U.S. population are children, but those younger than 18 represent 31% of all Americans living in poverty.",FALSE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,4,"Black and Hispanic children are particularly overrepresented. Black children represent a quarter of the Black population but 35% of all Black people living in poverty. And Hispanic children are 31% of the total Hispanic population but represent 41% of all impoverished Hispanics. In comparison, children represent about equal shares of total Asian and White populations and of impoverished Asians and Whites.",FALSE
1,"In 2019, child poverty rates had dropped among all major racial and ethnic groups","% of children living in poverty, by race and ethnicity","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian Americans included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/1.csv,out/multi_col/imgs/1.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,5,"Note: This is an update of a post originally published on July 14, 2015.",FALSE
2,About equal numbers of Black and White children are living in poverty,"Number of children living in poverty, by race and ethnicity (in millions)","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian children included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/2.csv,out/multi_col/imgs/2.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,-3,"Before the coronavirus outbreak sent the U.S. economy into a recession, the share of American children living in poverty was on a downward trajectory, reaching record lows across racial and ethnic groups, according to a new Pew Research Center analysis of U.S. Census Bureau data.",FALSE
2,About equal numbers of Black and White children are living in poverty,"Number of children living in poverty, by race and ethnicity (in millions)","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian children included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/2.csv,out/multi_col/imgs/2.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,-2,"In 2019, the year with the most recently available data, 14% of children under age 18, or 10.5 million children, were living in poverty, down from 22%, or 16.3 million, in 2010. All major racial and ethnic groups saw declines since 2010, but the greatest decreases were in the shares of Black and Hispanic children living in poverty. About two-in-ten Hispanic children (21%) were living in poverty in 2019, down from 35% in 2010. In 2019, 26% of Black children were impoverished, dropping from 39% in 2010. Even so, Black and Hispanic children were still about three times as likely as Asian (7%) and White (8%) children to be living in poverty.",FALSE
2,About equal numbers of Black and White children are living in poverty,"Number of children living in poverty, by race and ethnicity (in millions)","Note: Children include those who are younger than 18. White children include only those who report being one race and are not Hispanic. In 2001 and earlier, Asian children included Pacific Islanders. Data on Asian Americans not available prior to 1987. From 2002-2019, respondents could choose more than one race; White, Black and Asian children include only the single-race components of their populations in these years. Hispanics are of any race.
Source: U.S. Census Bureau historical poverty data, 1976-2019.",out/multi_col/data/2.csv,out/multi_col/imgs/2.png,line,https://www.pewresearch.org/fact-tank/2020/11/30/prior-to-covid-19-child-poverty-rates-had-reached-record-lows-in-u-s/,-1,"The number of impoverished children also declined across racial and ethnic groups. In particular, the numbers of poor Black and White children reached new lows in 2019 (each around 3 million). While there are about as many White children as Black children living in poverty, it’s worth noting that there are more than three times as many White children as Black children in the U.S.",TRUE
