Organization,Number_of_inhabitants
The_Evangelical_Lutheran_Church_of_Iceland,231112
The_Roman_Catholic_Church,14632
The_Independent_Congregation_of_Reykjavík,10003
The_Independent_Congregation_of_Hafnarfjörður,7216
Pagan_Worship,4764
The_Icelandic_Ethical_Humanist_Association,3507
The_Independent_Congregation,3241
The_Pentecostal_Church_of_Iceland,2099
Zuism,1213
The_Icelandic_Buddhist_Society,1115
The_Russian_Orthodox_Church,742
The_Seventh_Day_Adventist_Church,628
The_Icelandic_Muslim_Association,623
Jehova_Witnesses,608
The_Christian_Way_a_Church_for_You,498
