Month,Employment_rate
Oct_20,75.2
Sep_20,75.3
Aug_20,75.6
Jul_20,75.8
Jun_20,75.8
May_20,75.9
Apr_20,76
Mar_20,76.3
Feb_20,76.6
Jan_20,76.5
Dec_19,76.5
Nov_19,76.3
Oct_19,76.2
Sep_19,76
Aug_19,75.9
Jul_19,76.1
Jun_19,76.1
May_19,76
Apr_19,76.1
Mar_19,76.1
Feb_19,76.1
Jan_19,76.1
Dec_18,75.8
Nov_18,75.8
Oct_18,75.7
Sep_18,75.6
Aug_18,75.6
Jul_18,75.5
Jun_18,75.5
May_18,75.6
Apr_18,75.6
Mar_18,75.6
Feb_18,75.4
Jan_18,75.3
Dec_17,75.2
Nov_17,75.3
Oct_17,75.1
Sep_17,75
Aug_17,75.1
Jul_17,75.3
Jun_17,75.1
May_17,74.9
Apr_17,74.8
Mar_17,74.8
Feb_17,74.6
Jan_17,74.5
Dec_16,74.6
Nov_16,74.4
Oct_16,74.4
Sep_16,74.4
Aug_16,74.5
Jul_16,74.5
Jun_16,74.4
May_16,74.4
Apr_16,74.2
Mar_16,74.1
Feb_16,74.1
Jan_16,74.1
Dec_15,74.1
Nov_15,74
Oct_15,74
Sep_15,73.8
Aug_15,73.6
Jul_15,73.5
Jun_15,73.4
May_15,73.3
Apr_15,73.4
Mar_15,73.4
Feb_15,73.4
Jan_15,73.3
Dec_14,73.2
Nov_14,73
Oct_14,73
Sep_14,73
Aug_14,73
Jul_14,72.8
Jun_14,72.8
May_14,72.9
Apr_14,72.7
Mar_14,72.5
Feb_14,72.4
Jan_14,72.1
Dec_13,72
Nov_13,72
Oct_13,71.9
Sep_13,71.7
Aug_13,71.5
Jul_13,71.5
Jun_13,71.3
May_13,71.2
Apr_13,71.2
Mar_13,71.2
Feb_13,71.2
Jan_13,71.4
Dec_12,71.4
Nov_12,71.3
Oct_12,71.1
Sep_12,71.1
Aug_12,71.2
Jul_12,71.1
Jun_12,70.9
May_12,70.7
Apr_12,70.5
Mar_12,70.5
Feb_12,70.3
Jan_12,70.2
Dec_11,70.2
Nov_11,70.1
Oct_11,70.1
Sep_11,70.1
Aug_11,70.2
Jul_11,70.2
Jun_11,70.5
May_11,70.5
Apr_11,70.5
Mar_11,70.5
Feb_11,70.6
Jan_11,70.5
Dec_10,70.4
Nov_10,70.3
Oct_10,70.5
Sep_10,70.7
Aug_10,70.6
Jul_10,70.6
Jun_10,70.4
May_10,70.4
Apr_10,70.2
Mar_10,70.2
Feb_10,70.3
Jan_10,70.4
Dec_09,70.6
Nov_09,70.6
Oct_09,70.6
Sep_09,70.6
Aug_09,70.7
Jul_09,70.6
Jun_09,70.8
May_09,71
Apr_09,71.4
Mar_09,71.7
Feb_09,71.9
Jan_09,72.2
Dec_08,72.2
Nov_08,72.3
Oct_08,72.3
Sep_08,72.4
Aug_08,72.6
Jul_08,72.8
Jun_08,72.9
May_08,73
Apr_08,73
Mar_08,73
Feb_08,73
Jan_08,72.9
Dec_07,72.9
Nov_07,72.8
Oct_07,72.8
Sep_07,72.7
Aug_07,72.6
Jul_07,72.6
Jun_07,72.7
May_07,72.7
Apr_07,72.5
Mar_07,72.5
Feb_07,72.5
Jan_07,72.6
Dec_06,72.7
Nov_06,72.7
Oct_06,72.8
Sep_06,72.8
Aug_06,73
Jul_06,72.9
Jun_06,72.8
May_06,72.8
Apr_06,72.9
Mar_06,72.9
Feb_06,72.8
Jan_06,72.8
Dec_05,72.7
Nov_05,72.8
Oct_05,72.9
Sep_05,73
Aug_05,73
Jul_05,73
Jun_05,72.9
May_05,72.9
Apr_05,72.9
Mar_05,73.1
Feb_05,73.2
Jan_05,73.1
Dec_04,73
Nov_04,73
Oct_04,72.9
Sep_04,72.9
Aug_04,72.8
Jul_04,72.8
Jun_04,72.9
May_04,72.9
Apr_04,73
Mar_04,73
Feb_04,73
Jan_04,73
Dec_03,72.8
Nov_03,72.8
Oct_03,72.8
Sep_03,72.8
Aug_03,72.8
Jul_03,72.8
Jun_03,72.9
May_03,72.8
Apr_03,72.7
Mar_03,72.7
Feb_03,72.6
Jan_03,72.8
Dec_02,72.9
Nov_02,72.8
Oct_02,72.7
Sep_02,72.6
Aug_02,72.7
Jul_02,72.6
Jun_02,72.7
May_02,72.6
Apr_02,72.6
Mar_02,72.5
Feb_02,72.5
Jan_02,72.5
Dec_01,72.6
Nov_01,72.6
Oct_01,72.5
Sep_01,72.5
Aug_01,72.6
Jul_01,72.6
Jun_01,72.7
May_01,72.7
Apr_01,72.7
Mar_01,72.6
Feb_01,72.6
Jan_01,72.7
Dec_00,72.5
Nov_00,72.4
Oct_00,72.5
Sep_00,72.6
Aug_00,72.7
Jul_00,72.6
Jun_00,72.5
May_00,72.4
Apr_00,72.3
Mar_00,72.3
Feb_00,72.2
Jan_00,72.2
Dec_99,72.3
Nov_99,72.2
Oct_99,72.1
Sep_99,72.1
Aug_99,72
Jul_99,71.9
Jun_99,71.9
May_99,71.8
Apr_99,71.8
Mar_99,71.9
Feb_99,71.9
Jan_99,71.9
Dec_98,71.8
Nov_98,71.8
Oct_98,71.6
Sep_98,71.6
Aug_98,71.6
Jul_98,71.4
Jun_98,71.3
May_98,71.3
Apr_98,71.3
Mar_98,71.3
Feb_98,71.2
Jan_98,71.2
Dec_97,71.2
Nov_97,71.2
Oct_97,71.1
Sep_97,71.1
Aug_97,70.9
Jul_97,70.9
Jun_97,71
May_97,70.9
Apr_97,70.9
Mar_97,70.8
Feb_97,70.6
Jan_97,70.5
Dec_96,70.3
Nov_96,70.3
Oct_96,70.1
Sep_96,70
Aug_96,70
Jul_96,69.9
Jun_96,69.9
May_96,69.9
Apr_96,69.9
Mar_96,69.9
Feb_96,69.9
Jan_96,70
Dec_95,69.9
Nov_95,69.7
Oct_95,69.7
Sep_95,69.6
Aug_95,69.6
Jul_95,69.5
Jun_95,69.4
May_95,69.4
Apr_95,69.3
Mar_95,69.2
Feb_95,69.1
Jan_95,69
Dec_94,69.1
Nov_94,69.1
Oct_94,69
Sep_94,69
Aug_94,69
Jul_94,69
Jun_94,68.8
May_94,68.8
Apr_94,68.8
Mar_94,68.7
Feb_94,68.6
Jan_94,68.5
Dec_93,68.5
Nov_93,68.5
Oct_93,68.5
Sep_93,68.5
Aug_93,68.4
Jul_93,68.4
Jun_93,68.4
May_93,68.4
Apr_93,68.3
Mar_93,68.4
Feb_93,68.3
Jan_93,68.4
Dec_92,68.5
Nov_92,68.7
Oct_92,68.8
Sep_92,68.9
Aug_92,68.9
Jul_92,69
Jun_92,69.1
May_92,69.2
Apr_92,69.3
Mar_92,69.4
Feb_92,69.5
Jan_92,69.6
Dec_91,69.8
Nov_91,69.9
Oct_91,70.1
Sep_91,70.3
Aug_91,70.5
Jul_91,70.7
Jun_91,71
May_91,71.2
Apr_91,71.5
Mar_91,71.7
Feb_91,71.9
Jan_91,72.1
Dec_90,72.3
Nov_90,72.4
Oct_90,72.6
Sep_90,72.7
Aug_90,72.8
Jul_90,72.8
Jun_90,72.8
May_90,72.8
Apr_90,72.8
Mar_90,72.8
Feb_90,72.8
Jan_90,72.8
Dec_89,72.8
Nov_89,72.7
Oct_89,72.6
Sep_89,72.6
Aug_89,72.5
Jul_89,72.5
Jun_89,72.4
May_89,72.4
Apr_89,72.3
Mar_89,72.1
Feb_89,71.9
