Month,Number_of_recoveries
Jan_5_2021,1536129
Jan_4_2021,1520106
Jan_3_2021,1503900
Jan_2_2021,1489154
Jan_1_2021,1479988
Dec_31_2020,1463111
Dec_30_2020,1445690
Dec_29_2020,1425730
Dec_28_2020,1408686
Dec_27_2020,1394011
Dec_26_2020,1386213
Dec_25_2020,1377109
Dec_24_2020,1344785
Dec_23_2020,1322067
Dec_22_2020,1301573
Dec_21_2020,1281258
Dec_20_2020,1261626
Dec_19_2020,1249470
Dec_18_2020,1226086
Dec_17_2020,1203814
Dec_16_2020,1175901
Dec_15_2020,1141406
Dec_14_2020,1115617
Dec_13_2020,1093161
Dec_12_2020,1076891
Dec_11_2020,1052163
Dec_10_2020,1027994
Dec_9_2020,997895
Dec_8_2020,958629
Dec_7_2020,933132
Dec_6_2020,913494
Dec_5_2020,896308
Dec_4_2020,872385
Dec_3_2020,846809
Dec_2_2020,823335
Dec_1_2020,784595
Nov_30_2020,757507
Nov_29_2020,734503
Nov_28_2020,720861
Nov_27_2020,696647
Nov_26_2020,661180
Nov_25_2020,637149
Nov_24_2020,605330
Nov_23_2020,584493
Nov_22_2020,553098
Nov_21_2020,539524
Nov_20_2020,520022
Nov_19_2020,498987
Nov_18_2020,481967
Nov_17_2020,457798
Nov_16_2020,442364
Nov_15_2020,420810
Nov_14_2020,411434
Nov_13_2020,399238
Nov_12_2020,387758
Nov_11_2020,372113
Nov_10_2020,363023
Nov_9_2020,345289
Nov_8_2020,335074
Nov_7_2020,328891
Nov_6_2020,322925
Nov_5_2020,312339
Nov_4_2020,307378
Nov_3_2020,302275
Nov_2_2020,296017
Nov_1_2020,292380
Oct_31_2020,289426
Oct_30_2020,283567
Oct_29_2020,279282
Oct_28_2020,275404
Oct_27_2020,271988
Oct_26_2020,268626
Oct_25_2020,266203
Oct_24_2020,264117
Oct_23_2020,261808
Oct_22_2020,259456
Oct_21_2020,257374
Oct_20_2020,255005
Oct_19_2020,252959
Oct_18_2020,251461
Oct_17_2020,249127
Oct_16_2020,247872
Oct_15_2020,245964
Oct_14_2020,244065
Oct_13_2020,242028
Oct_12_2020,240600
Oct_11_2020,239709
Oct_10_2020,238525
Oct_9_2020,237549
Oct_8_2020,236363
Oct_7_2020,235303
Oct_6_2020,234099
Oct_5_2020,232681
Oct_4_2020,231914
Oct_3_2020,231217
Oct_2_2020,229970
Oct_1_2020,228844
Sep_30_2020,227704
Sep_29_2020,226506
Sep_28_2020,225190
Sep_27_2020,224417
Sep_26_2020,223693
Sep_25_2020,222716
Sep_24_2020,221762
Sep_23_2020,220665
Sep_22_2020,219670
Sep_21_2020,218703
Sep_20_2020,218351
Sep_19_2020,217716
Sep_18_2020,216807
Sep_17_2020,215954
Sep_16_2020,215265
Seo_15_2020,214645
Sep_14_2020,213950
Sep_13_2020,213634
Sep_12_2020,213191
Sep_11_2020,212432
Sep_10_2020,211885
Sep_9_2020,211272
Sep_8_2020,210801
Sep_7_2020,210238
Sep_6_2020,210015
Sep_5_2020,209610
Sep_4_2020,209027
Sep_3_2020,208490
Sep_2_2020,208201
Sep_1_2020,207944
Aug_31__2020,207653
Aug_30__2020,207536
Aug_29__2020,207224
Aug_28__2020,206902
Aug_27__2020,206554
Aug_26__2020,206329
Aug_25__2020,206015
Aug_24__2020,205662
Aug_23__2020,205470
Aug_22__2020,205203
Aug_21__2020,204960
Aug_20__2020,204686
Aug_19__2020,204506
Aug_18__2020,204142
Aug_17_2020,203968
Aug_16_2020,203786
Aug_15_2020,203540
Aug_14_2020,203326
Aug_13_2020,202923
Aug_12_2020,202697
Aug_11_2020,202461
Aug_10_2020,202248
Aug_9_2020,202098
Aug_8_2020,201947
