Migration_Background,Number_of_persons_in_thousands
Men_with_a_migration_background_(s._str.),10855
Among_these:_men_with_own_migration_experience,2438
Among_these:_men_without_own_migration_experience,3073
Among_these:_foreign_men_with_own_migration_experience,4490
Among_these:_foreign_men_without_own_migration_experience,854
Women_with_a_migration_background_(s._str.),10391
Among_these:_women_with_own_migration_experience,2687
Among_these:_women_without_own_migration_experience,2927
Among_these:_foreign_women_with_own_migration_experience,4066
Among_these:_foreign_women_without_own_migration_experience,711
