Response,Share_of_users
Job_portals,92
Company_career_page,87
Internal_employee_referrals,56
Own_network,53
Fairs_(e.g._university_fairs_job_&_career_fairs),48
"Social_media_for_direct_contact_(""Active_Sourcing"")",46
Print_media_(newspapers_specialist_magazines),45
Social_media_for_job_postings,45
Social_media_for_employer_branding,43
Intranet,39
Personnel_consultants/service_providers/temporary_work,34
CV_databases_(internal),30
External_employee_referrals,30
CV_databases_(external),21
Other_not_listed,3
We're_not_recruiting,2
