Tennis_player,Number_of_weeks_at_No._1
Roger_Federer_(SUI),310
Pete_Sampras_(USA),286
Novak_Djokovic_(SRB),275
Ivan_Lendl_(CZE),270
Jimmy_Connors_(USA),268
Rafael_Nadal_(ESP)_,205
John_McEnroe_(USA),170
Bjorn_Borg_(SWE),109
Andre_Agassi_(USA),101
Lleyton_Hewitt_(AUS),80
Stefan_Edberg_(SWE),72
Jim_Courier_(USA),58
Gustavo_Kuerten_(BRA),43
Andy_Murray_(GBR),41
Ilie_Nastase_(ROM),40
Mats_Wilander_(SWE),20
Andy_Roddick_(USA),13
Boris_Becker_(GER),12
Marat_Safin_(RUS),9
Juan_Carlos_Ferrero_(ESP),8
John_Newcombe_(AUS),8
