Metropolitan_area,Number_of_deaths
Toronto_Ontario,36061
Montréal_Quebec,30200
Vancouver_British_Columbia,16230
Ottawa-Gatineau_Ontario/Quebec,9516
Edmonton_Alberta,8632
Calgary_Alberta,7532
Hamilton_Ontario,7054
Winnipeg_Manitoba,6621
Québec_Quebec,6342
St._Catharines-Niagara_Ontario,4721
London_Ontario,4285
Kitchener-Cambridge-Waterloo_Ontario,3853
Victoria_British_Columbia,3691
Halifax_Nova_Scotia,3268
Windsor_Ontario,2995
Oshawa_Ontario,2893
Saskatoon_Saskatchewan,2128
Kelowna_British_Columbia,2016
Regina_Saskatchewan,1775
Greater_Sudbury_Ontario,1751
Trois-Rivières_Quebec,1713
St._John's_Newfoundland_and_Labrador,1670
Sherbrooke_Quebec,1646
Kingston_Ontario,1558
Barrie_Ontario,1540
Saguenay_Quebec,1539
Abbotsford-Mission_British_Columbia,1459
Peterborough_Ontario,1440
Brantford_Ontario,1428
Thunder_Bay_Ontario,1425
Saint_John_New_Brunswick,1327
Moncton_New_Brunswick,1244
Guelph_Ontario,1171
