Month,Market_capitalization_in_million_euros
Sep_2020,9020.04
Aug_2020,8437.84
Jul_2020,8470.7
Jun_2020,8863.0
May_2020,8708.59
Apr_2020,8882.87
Mar_2020,8647.83
Feb_2020,9015.84
Jan_2020,10134.8
Dec_2019,10365.26
Nov_2019,10342.81
Oct_2019,8910.86
Sep_2019,8454.11
Aug_2019,8835.34
Jul_2019,9583.45
Jun_2019,9690.32
May_2019,8462.74
Apr_2019,9443.63
Mar_2019,9183.61
Feb_2019,8638.12
Jan_2019,8378.63
Dec_2018,7353.85
Nov_2018,7376.63
Oct_2018,7882.23
Sep_2018,9590.15
Aug_2018,9959.7
Jul_2018,9583.45
Jun_2018,9950.18
May_2018,10030.43
Apr_2018,9549.23
Mar_2018,7863.82
Feb_2018,7320.71
Jan_2018,6771.44
Dec_2017,6681.13
Nov_2017,5883.52
Oct_2017,6198.56
Sep_2017,6207.28
Aug_2017,6057.71
Jul_2017,5751.88
