Platform,Penetration_rate_among_iOS_users
Facebook,68.44
Messenger,49.93
YouTube_-_Watch_Upload_and_Share_Videos,47.21
Kindle_Read_eBooks_Magazines_&_Textbooks,46.26
BlockArt_Free,43.67
Instagram,42.31
WhatsApp_Messenger,34.56
musical.ly_-_your_video_social_network,33.74
Snapchat,31.16
Twitter,29.8
eBay_for_iPad,24.35
eBay:_Buy_Sell_Save!_Electronics_Fashion_&_More,23.67
Spotify_Music,21.63
Google_Maps_-_Navigation_&_Transit,20.41
Skype_for_iPhone,20.14
Pinterest,18.23
Shazam_-_Discover_music_artists_videos_&_lyrics,17.14
Netflix,16.46
Google_Search_made_just_for_mobile,15.24
Viber_Messenger,13.61
