Month,Construction_output_index
Aug_'19,108.9
Jul_'19,108.7
Jun_'19,106.7
May_'19,107.9
Apr_'19,107.7
Mar_'19,108.5
Feb_'19,109.9
Jan_'19,107.8
Dec_'18,105.6
Nov_'18,107.6
Oct_'18,107.8
Sep_'18,107.5
Aug_'18,106.3
Jul_'18,106.6
Jun_'18,106.6
May_'18,105.7
Apr_'18,104.4
Mar_'18,103.1
Feb_'18,105.0
Jan_'18,106.3
Dec_'17,109.2
Nov_'17,106.6
Oct_'17,104.3
Sep_'17,106.1
Aug_'17,106.5
Jul_'17,105.1
Jun_'17,105.4
May_'17,105.5
Apr_'17,106.0
Mar_'17,105.9
Feb_'17,105.0
Jan_'17,105.7
Dec_'16,103.6
Nov_'16,101.0
Oct_'16,100.5
Sep_'16,100.7
Aug_'16,100.3
Jul_'16,100.4
Jun_'16,99.3
May_'16,99.8
Apr'_16,100.1
Mar_´16,97.5
Feb_'16,98.6
Jan_'16,98.2
Dec_'15,98.4
Nov_'15,96.3
Oct_'15,96.5
Sep_'15,95.2
Aug_'15,95.1
Jul_'15,96.6
Jun_'15,95.8
May_'15,96.6
Apr_'15,97.1
Mar_'15,96.3
Feb_'15,95.0
Jan_'15,95.7
