University_(rank),Average_student_debt_in_U.S._dollars
Northwestern_University_(9),36350
Columbia_University_(3),27595
University_of_Notre_Dame_(19),27460
Cornell_University_(18),27094
University_of_Chicago_(6),26619
Dartmouth_College_(13),25071
Brown_University_(14),24304
Rice_University_(16),24292
Washington_University_in_St._Louis_(16),24247
Johns_Hopkins_University_(9),24107
Massachusetts_Institute_of_Technology_(3),23517
University_of_Pennsylvania_(8),23009
Stanford_University_(6),22897
Vanderbilt_University_(14),22727
Duke_University_(12),22203
University_of_California_-_Los_Angeles_(20),21441
California_Institute_of_Technology_(9),20192
Harvard_University_(2),16130
Yale_University_(4),15379
Princeton_University_(1),9445
