Month,Cumulative_number_of_performed_tests
Dec_20,6606666
Dec_19,6606065
Dec_18,6574347
Dec_17,6487206
Dec_16,6485818
Dec_15,6436374
Dec_14,6383615
Dec_13,6352258
Dec_12,6336536
Dec_11,6299033
Dec_10,6261030
Dec_9,6219547
Dec_8,6173667
Dec_7,6147077
Dec_6,6105524
Dec_5,6105191
Dec_4,6081132
Dec_3,6045930
Dec_2,6011904
Dec_1,5975439
Nov_30,5931234
Nov_29,5907481
Nov_28,5895952
Nov_27,5870957
Nov_26,5838117
Nov_25,5804653
Nov_24,5767557
Nov_23,5719938
Nov_22,5687407
Nov_21,5687229
Nov_20,5666573
Nov_19,5633233
Nov_18,5598436
Nov_17,5562417
Nov_16,5521488
Nov_15,5508051
Nov_14,5481911
Nov_13,5459867
Nov_12,5423372
Nov_11,5395590
Nov_10,5356710
Nov_9,5319529
Nov_8,5298033
Nov_7,5284749
Nov_6,5250349
Nov_5,5212905
Nov_4,5126695
Nov_3,5068561
Nov_2,5041257
Nov_1,5038017
Oct_31,5014066
Oct_30,4959928
Oct_29,4894595
Oct_28,4823169
Oct_27,4745513
Oct_26,4674229
Oct_25,4624346
Oct_24,4584917
Oct_23,4519821
Oct_22,4451429
Oct_21,4371927
Oct_20,4291650
Oct_19,4213612
Oct_18,4157768
Oct_17,4113101
Oct_16,4051357
Oct_15,3983078
Oct_14,3917087
Oct_13,3844262
Oct_12,3784750
Oct_11,3740242
Oct_10,3709885
Oct_9,3662408
Oct_8,3608849
Oct_7,3558995
Oct_6,3504551
Oct_5,3458733
Oct_4,3431361
Oct_3,3413404
Oct_2,3377647
Oct_1,3336859
Sep_30,3295375
Sep_29,3249225
Sep_28,3201431
Sep_27,3173150
Sep_26,3152846
Sep_25,3119436
Sep_24,3082037
Sep_23,3041628
Sep_22,2997200
Sep_21,2952154
Sep_20,2916985
Sep_19,2894782
Sep_18,2868322
Sep_17,2826852
Sep_16,2783627
Sep_15,2736948
Sep_14,2694641
Sep_13,2665332
Sep_12,2599453
Sep_11,2566088
Sep_10,2532095
Sep_9,2498724
Sep_8,2466280
Sep_7,2449055
Sep_6,2419095
Sep_5,2415673
Sep_4,2390994
Sep_3,2364713
Sep_2,2336975
Sep_1,2292487
Aug_31,2289784
Aug_30,2278713
Aug_29,2261043
Aug_28,2234172
Aug_27,2211804
Aug_26,2189246
Aug_25,2162690
Aug_24,2144563
Aug_23,2135402
Aug_22,2119749
Aug_21,2099750
Aug_20,2074445
Aug_19,2049976
Aug_18,2023900
Aug_17,2008070
Aug_16,1999543
Aug_15,1983514
Aug_14,1962386
Aug_13,1924348
Aug_12,1912240
Aug_11,1888690
Aug_10,1872714
Aug_9,1859218
Aug_8,1840529
Aug_7,1819137
Aug_6,1791554
Aug_5,1767120
Aug_4,1743265
Aug_3,1728283
Aug_2,1703059
Aug_1,1694349
Jul_31,1670785
Jul_30,1644394
Jul_29,1618788
Jul_28,1588423
Jul_27,1575452
Jul_26,1562934
Jul_25,1548472
Jul_24,1531766
Jul_23,1514046
Jul_22,1501396
Jul_21,1484430
Jul_20,1474305
Jul_17,1444885
Jul_16,1429053
Jul_15,1412925
Jul_14,1398080
Jul_13,1390593
Jul_10,1361830
Jul_9,1349831
Jul_8,1335704
Jul_7,1322052
Jul_6,1313064
Jul_3,1284605
Jul_2,1270677
Jul_1,1251345
Jun_30,1239232
Jun_29,1226238
Jun_26,1191959
Jun_25,1178721
Jun_24,1161971
Jun_23,1145258
Jun_22,1131883
Jun_19,1087369
Jun_18,1071939
Jun_17,1056075
Jun_16,1045014
Jun_15,1036321
Jun_14,1024302
Jun_13,1010059
Jun_12,996785
Jun_11,983670
Jun_10,969619
Jun_9,958513
Jun_8,949675
May_17,696840
May_16,663775
May_15,645314
May_14,623628
May_13,605337
May_12,595631
May_11,584807
May_10,566101
May_9,540643
May_8,515233
May_7,493325
May_6,474176
May_5,456194
May_4,440700
May_3,423971
May_2,399584
May_1,374197
Apr_30,345047
