Month,Number_of_players_in_thousands
Nov_'20,1037.46
Oct_'20,943.88
Sep_''20,977.77
Aug_'20,925.35
Jul_'20,857.56
Jun_'20,1009.47
May_'20,1193.36
Apr_'20,1305.71
Mar_'20,1145.97
Feb_'20,917.0
Jan_'20,817.23
Dec_'19,767.06
Nov_'19,758.41
Oct_'19,747.94
Sept_'19,720.05
Aug_'19,647.46
Jul'_19,578.93
Jun_'19,587.72
May_'19,588.45
Apr_'19,621.61
Mar_'19,680.07
Feb_'19,654.07
Jan_'19,684.51
Dec_'18,746.55
Nov_'18,546.03
Oct_'18,565.97
Sept_'18,583.03
Aug_'18,454.37
Jul_'18,426.01
Jun_'18,420.26
May_'18,454.48
Aprl_'18,523.26
Mar_'18,672.5
Feb_'18,686.59
Jan_'18,715.85
Dec_'17,598.41
Nov_'17,601.88
Oct_'17,639.97
Sept_'17,665.37
Aug_'17,595.78
Jul_'17,624.79
Jun_'17,614.62
May_'17,692.97
Apr_'17,709.84
Mar_'17,742.36
Feb_'17,744.47
Jan_'17,814.62
Dec_'16,662.46
Nov_'16,627.12
Oct_'16,661.99
Sept_'16,638.36
Aug_'16,599.1
Jul_'16,636.06
Jun_'16,579.11
May_'16,668.61
Apr_'16,850.49
Mar_'16,737.6
Feb_'16,738.97
Jan_'16,667.43
