Month,Number_of_viewers_in_thousands
November_2020,39.42
October_2020,32.61
September_2020,28.98
Augsut_2020,34.07
July_2020,29.17
June_2020,27.86
May_2020,30.41
April_2020,40.74
March_2020,32.13
February_2020,27.52
January_2020,28.5
December_2019,35.15
November_2019,36.61
October_2019,19.01
September_2019,23.14
August_2019,28.96
July_2019,15.18
June_2019,29.19
May_2019,33.06
April_2019,47.75
March_2019,21.47
February_2019,20.42
January_2019,32.88
December_2018,41.8
November_2018,27.06
October_2018,29.83
September_2018,33.65
August_2018,50.81
July_2018,37.43
June_2018,38.38
May_2018,45.35
April_2018,59.68
March_2018,37.77
February_2018,41.63
January_2018,47.13
