Leading_children's_clothing_recalls_by_manufacturer,Number_of_units_recalled
Children's_boots_(Target),62600
Infant_socks_(Midwest-CBK),22600
Children's_loungewear_(Genexus_dba_Ragdoll_&_Rockets),14100
Children's_Sleep_Sacks_(Gildan_Activewear_SRL),10600
Children's_pajamas_(H&M),9000
Infant_sock_and_wrist_sets_(Maison_Chic),7500
Children's_sweatshirts_(Hooey_LLC),6600
Infant_jackets_(Amerex_Group_LLC),1550
Children's_bathrobes_(H&M),980
Boys'_denim_pants_(J.Crew_Group_Inc.),900
Children's_robes_and_pajama_pants_(Aegean_Apparel),500
