household_expenditure_,Average_expenditure_in_Canadian_dollars
Shelter,12692
Transportation,12155
Income_taxes,11708
Food_expenditures,7634
Household_operations,4757
Personal_insurance_payments_and_pension_contributions,4621
Recreation,3302
Clothing_and_accessories,2715
Health_care,2640
Household_furnishings_and_equipment,1949
Gifts_of_money_support_payments_and_charitable_contributions,1893
Miscellaneous_expenditures,1324
Tobacco_products_and_alcoholic_beverages,1237
Personal_care,995
Education,841
Games_of_chance,210
Reading_materials_and_other_printed_matter,159
