leading_banks,Value_in_billion_euros
BNP_Paribas_SA,61.08
Crédit_Agricole_SA,35.55
Société_Générale_SA,25.41
Natixis_SA,12.13
Caisse_regionale_de_Credit_Agricole_Mutuel_de_Paris_et_d'Ile-de-France,0.86
Caisse_Regionale_de_Credit_Agricole_Mutuel_Brie_Picardie,0.55
Caisse_Regionale_de_Credit_Agricole_Mutuel_de_Nord_de_France_SC,0.5
Caisse_Regionale_de_Credit_Agricole_Mutuel_d'Ille-et-Vilaine_SC,0.27
Caisse_Regionale_de_Credit_Agricole_Mutuel_Atlantique_Vendee_SC,0.21
Caisse_Regionale_de_Credit_Agricole_Mutuel_Toulouse_31_SC,0.19
