State,Expenditure_in_U.S._dollars
Texas,18546804
California,17880625
Florida,15181486
Ohio,9459429
North_Carolina,8367343
Georgia,7345472
New_York,6892834
Virginia,6829758
Pennsylvania,6107650
Illinois,5110463
Tennessee,5024969
Washington,4896346
Arizona,4694176
Michigan,4534486
South_Carolina,4405950
District_of_Columbia,4301017
Missouri,4188436
Alabama,3990745
Colorado,3821243
Oklahoma,3744288
Maryland,3417492
Indiana,3294413
Oregon,3180476
Wisconsin,3175393
Massachusetts,3077073
Minnesota,3048351
Louisiana,2988018
Kentucky,2873868
Arkansas,2514572
New_Jersey,2470315
Nevada,2431891
West_Virginia,2197413
Mississippi,2046100
New_Mexico,1751262
Kansas,1666762
Iowa,1624540
Connecticut,1450274
Nebraska,1356201
Utah,1340823
Idaho,1176243
Maine,1170204
Hawaii,1123321
New_Hampshire,885836
Montana,884156
Alaska,823090
South_Dakota,743077
Rhode_Island,627131
Delaware,535395
Wyoming,504899
North_Dakota,472047
Vermont,363180
