Response,Percentage_of_respondents
Workstations_and_servers,84
Organization’s_network,78
Cybersecurity_policies_and_procedures_(and__documentation),75
Inventory_of_assets,74
Physical_security,73
Clinical_information_systems_(including_electronic_health_record_systems),71
Business_and_financial_systems,69
Cybersecurity_roles_and_responsibilities,69
Organizational_website,58
Communications_plan,57
Third_party_risks,50
Medical_devices,47
Comprehensive_(i.e._end-to-end),37
Other,1.6
Does_not_apply_–_no_security_risk_assessment_conducted,4
Don’t_know,5
