Month,Number_of_minutes
Mar_2018,64
Jan_2018,57
Nov_2017,60
Sep_2017,58
Jul_2017,60
May_2017,59
Mar_2017,58
Jan_2017,57
Nov_2016,59
Sep_2016,59
Jul_2016,62
May_2016,62
Mar_2016,69
Jan_2016,58
Nov_2015,58
Sep_2015,55
Jul_2015,53
May_2015,53
Mar_2015,56
Jan_2015,46
Nov_2014,54
Sep_2014,55
Jul_2014,56
May_2014,56
Mar_2014,56
Jan_2014,47
Nov_2013,50
Sep_2013,50
Jul_2013,53
May_2013,51
Mar_2013,57
Jan_2013,50
Nov_2012,53
Sep_2012,53
Jul_2012,54
May_2012,53
Mar_2012,55
Jan_2012,49
Nov_2011,51
Sep_2011,53
Jul_2011,53
May_2011,57
