Baseball_player,Number_of_runs_scored
Rickey_Henderson,2295
Ty_Cobb,2245
Barry_Bonds,2227
Hank_Aaron,2174
Babe_Ruth,2174
Pete_Rose,2165
Willie_Mays,2062
Alex_Rodriguez,2021
Cap_Anson,1999
Stan_Musial,1949
Derek_Jeter,1923
Lou_Gehrig,1888
Tris_Speaker,1882
Mel_Ott,1859
Craig_Biggio,1844
Albert_Pujols,1843
Frank_Robinson,1829
Eddie_Collins,1821
Carl_Yastrzemski,1816
Ted_Williams,1798
Paul_Molitor,1782
Charlie_Gehringer,1775
Jimmie_Foxx,1751
Honus_Wagner,1739
Jim_O'Rourke,1729
Jesse_Burkett,1720
Willie_Keeler,1719
Billy_Hamilton,1697
Bid_McPhee,1684
Mickey_Mantle,1676
