Campaign/Brand_(Agency),Number_of_points
It's_a_Tide_Ad/_Tide_(Saatchi_&_Saatchi_New_York_Hearts_&_Science_New_York_MKTG_New_York),75.0
Oyster_Kanji_Dictation/_Hiroshima_Tourism_(I&S_BBDO_Tokyo_BBDO_J_West_Hiroshima),69.1
Prescribed_to_Death/_National_Safety_Council_(Energy_BBDO_Chicago_PHD_Chicago),65.9
Vodafone_Sakhi/_Vodafone_(Ogilvy_Mumbai),62.6
Unforgettable_Bag/_Tesco_(Grey_Kuala_Lumpur),55.2
The_Adaptive_Data_Lighthouse/_Lifebuoy_(Mindshare_Mumbai),52.8
Project_84/_CALM_(adam&eveDDB_London),51.1
Black_Supermarket/_Carrefour_(Marcel_Paris),50.0
Everyone_is_an_Amazing_Book/_Amazon_Prime_(McCann_Shanghai_MRM_McCann_Shanghai),41.1
Faces_of_the_City/_Coca-Cola_(McCann_Shanghai),40.2
