Period_of_drought,Economic_loss_in_billion_U.S._dollars
June_to_December_2012(South-West_regions_Mid-West),20.0
January_to_November_2011(Texas_Oklahoma_New_Mexico_Arizona_Kansas_Louisiana),8.0
July_to_August_2002(Midwest),3.3
January_to_December_2014(San_Joaquin_Valley_in_California),2.2
January_to_September_2015(California),1.8
June_2000_to_December_2002(South_Carolina_Georgia),1.1
July_to_December_1999(Kentucky_Maryland_Ohio),1.1
January_to_July_1991(California),1.0
July_1991(Pennsylvania_Maryland),0.34
October_2007_to_June_2009(California_Georgia_Maryland),0.3
