Football_player,Market_(transfer)_value_in_million_euros
Jadon_Sancho_(Borussia_Dortmund),117.0
Serge_Gnabry_(FC_Bayern_München),90.0
Joshua_Kimmich_(FC_Bayern_München),85.0
Alphonso_Davies_(FC_Bayern_München),80.0
Erling_Haaland_(Borussia_Dortmund),80.0
Leroy_Sané_(FC_Bayern_München),70.0
David_Alaba_(FC_Bayern_München),65.0
Dayot_Upamecano_(RB_Leipzig),60.0
Leon_Goretzka_(FC_Bayern_München),60.0
Robert_Lewandowski_(FC_Bayern_München),60.0
Niklas_Süle_(FC_Bayern_München),48.0
Benjamin_Pavard_(FC_Bayern_München),45.0
Lucas_Hernández_(FC_Bayern_München),45.0
Ibrahima_Konaté__(RB_Leizpig),40.5
Julian_Brandt_(Bayer_04_Leverkusen),40.0
Kingsley_Coman_(FC_Bayern_München),40.0
Denis_Zakaria_(Borussia_Mönchengladbach),40.0
Lukas_Klostermann_(RB_Leizpig),38.0
Marcel_Sabitzer_(RB_Leizpig),35.0
Raphaël_Guerreiro_(Borussia_Dortmund),35.0
Thomas_Müller_(FC_Bayern_München),35.0
Christopher_Nkunku_(RB_Leizpig),33.0
Matthias_Ginter_(Borussia_Mönchengladbach),32.0
Filip_Kostic_(Eintracht_Frankfurt),32.0
Marcus_Thuram_(Borussia_Mönchengladbach),32.0
