Month,Daily_new_cases
Jan_5_2021,15378
Jan_4_2021,10800
Jan_3_2021,14245
Jan_2_2021,11831
Jan_1_2021,22211
Dec_31_2020,23477
Dec_30_2020,16202
Dec_29_2020,11224
Dec_28_2020,8585
Dec_27_2020,8913
Dec_26_2020,10431
Dec_25_2020,19037
Dec_24_2020,18040
Dec_23_2020,14522
Dec_22_2020,13318
Dec_21_2020,10872
Dec_20_2020,15102
Dec_19_2020,16305
Dec_18_2020,15401
Dec_17_2020,18233
Dec_16_2020,17568
Dec_15_2020,14839
Dec_14_2020,12025
Dec_13_2020,17937
Dec_12_2020,19902
Dec_11_2020,18726
Dec_10_2020,16998
Dec_9_2020,12755
Dec_8_2020,14837
Dec_7_2020,13679
Dec_6_2020,18887
Dec_5_2020,21052
Dec_4_2020,24110
Dec_3_2020,23219
Dec_2_2020,20709
Dec_1_2020,19347
Nov_30_2020,16376
Nov_29_2020,20646
Nov_28_2020,26315
Nov_27_2020,28342
Nov_26_2020,29001
Nov_25_2020,25852
Nov_24_2020,23227
Nov_23_2020,22927
Nov_22_2020,28337
Nov_21_2020,34764
Nov_20_2020,37239
Nov_19_2020,36176
Nov_18_2020,34280
Nov_17_2020,32191
Nov_16_2020,27352
Nov_15_2020,33977
Nov_14_2020,37249
Nov_13_2020,40902
Nov_12_2020,37977
Nov_11_2020,32961
Nov_10_2020,35090
Nov_9_2020,25269
Nov_8_2020,32614
Nov_7_2020,39809
Nov_6_2020,37802
Nov_5_2020,34502
Nov_4_2020,30548
Nov_3_2020,28241
Nov_2_2020,22253
Nov_1_2020,29907
Oct_31_2020,31758
Oct_30_2020,31084
Oct_29_2020,26831
Oct_28_2020,24991
Oct_27_2020,21994
Oct_26_2020,17012
Oct_25_2020,21273
Oct_24_2020,19640
Oct_23_2020,19143
Oct_22_2020,16078
Oct_21_2020,15199
Oct_20_2020,10871
Oct_19_2020,9337
Oct_18_2020,11705
Oct_17_2020,10925
Oct_16_2020,10009
Oct_15_2020,8803
Oct_14_2020,7332
Oct_13_2020,5898
Oct_12_2020,4619
Oct_11_2020,5456
Oct_10_2020,5724
Oct_9_2020,5372
Oct_8_2020,4458
Oct_7_2020,3678
Oct_6_2020,2677
Oct_5_2020,2257
Oct_4_2020,2578
Oct_3_2020,2844
Oct_2_2020,2499
Oct_1_2020,2548
