Quarter,Real_GDP_in_trillion_chained_(2012)_U.S._dollars
Q1_'11,15.71
Q2_'11,15.83
Q3_'11,15.82
Q4_'11,16.0
Q1_'12,16.13
Q2_'12,16.2
Q3_'12,16.22
Q4_'12,16.24
Q1_'13,16.38
Q2_'13,16.4
Q3_'13,16.53
Q4_'13,16.66
Q1_'14,16.62
Q2_'14,16.84
Q3_'14,17.05
Q4_'14,17.14
Q1_'15,17.31
Q2_'15,17.42
Q3_'15,17.49
Q4_'15,17.51
Q1_'16,17.61
Q2_'16,17.67
Q3_'16,17.76
Q4_'16,17.88
Q1_'17,17.98
Q2_'17,18.05
Q3_'17,18.18
Q4_'17,18.36
Q1_'18,18.53
Q2_'18,18.65
Q3_'18,18.75
Q4_'18,18.81
Q1_'19,18.95
Q2_'19,19.02
Q3_'19,19.14
Q4_'19,19.25
Q1_'20,19.01
Q2_'20,17.3
Q3_'20,18.6
