tourist_attraction,Annual_number_of_visitors_in_millions
Las_Vegas_Strip,39.67
Times_Square_New_York_City,39.2
Central_Park_New_York_City,37.5
Union_Station_Washington_D.C.,32.85
Niagara_Falls,22.5
Grand_Central_Terminal_New_York_City,21.6
Faneuil_Hall_Marketplace_Boston,18.0
Disneyworld's_Magic_Kingdom_Orlando,17.54
Disneyland_Park_Anaheim,15.96
Forbidden_City_Beijing,15.3
Grand_Bazaar_Istanbul,15.0
Tokyo_Disneyland_Tokyo,14.85
Notre_Dame_Cathedral_Paris,13.65
Golden_Gate_Park_San_Francisco,13.0
Tokyo_Disney_Sea,12.66
Disneyland_Park_France,11.2
Epcot_Florida,11.06
Sacre_Coeur_Basilica_Paris,10.5
Tsim_Sha_Tsui_Waterfront_Hong_Kong,10.09
Pike_Place_Market_Seattle,10.0
The_Zocalo_Mexico_City,10.0
Disney's_Animal_Kingdom_Florida,10.0
Disney's_Hollywood_Studios_Florida,9.91
Universal_Studios_Japan_Osaka,9.7
Great_Smoky_Mountains_National_Park_Tennessee,9.69
Navy_Pier_Chicago,9.2
Musee_du_Louvre_Paris,9.2
Great_Wall_of_China,9.0
Sout_Street_Seaport_New_York_City,9.0
Pier_39_San_Francisco,8.5
Sydney_Opera_House_Sydney,8.2
National_Museum_of_Natural_History_(Smithsonian)_Washington_D.C.,8.0
Islands_of_Adventure_Universal_Orlando,7.98
Disney's_California_Adventure,7.78
Ocean_Park_Hong_Kong,7.44
Victoria_Peak_Hong_Kong,7.0
National_Air_and_Space_Museum_(Smithsonian)_Washington_D.C.,7.0
Eiffel_Tower_Paris,7.0
Everland_Gyeonggi-Do_South_Korea,6.85
British_Museum_London,6.7
Disneyland_Hong_Kong,6.7
Lotte_World_Seoul,6.38
Lake_Mead_Nevada,6.29
Universal_Studios_Florida,6.2
Lincoln_Memorial_Washington_D.C.,6.19
Metropolitan_Museum_of_Art_New_York_City,6.12
Bourbon_Street_New_Orleans,6.02
Universal_Studios_Hollywood,5.91
Palace_of_Versailles_France,5.9
Nagashima_Spa_Land_Japan,5.85
