Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,433.11
Professional_and_business_services,211.36
Information,162.04
Government_and_government_enterprises,154.88
Educational_services_health_care_and_social_assistance,146.19
Retail_trade,71.56
Arts_entertainment_recreation_accommodation_and_food_services,66.9
Wholesale_trade,65.57
Manufacturing,64.83
Construction,40.01
Transportation_and_warehousing,31.65
Utilities,20.65
Agriculture_forestry_fishing_and_hunting,4.28
Mining_quarrying_and_oil_and_gas_extraction,1.14
