State,Total_number_of_stores
California,297
Texas,150
Florida,124
Illionois,95
New_York,84
Pennsylvania,75
Minnesota,73
Ohio,64
Virginia,59
Michigan,53
North_Carolina,51
Georgia,50
New_Jersey,47
Massachusetts,47
Arizona,46
Colorado,42
Maryland,40
Washington,39
Wisconsin,36
Missouri,35
Indiana,31
Tennessee,30
Alabama,22
Connecticut,21
Iowa,20
Oregon,20
South_Carolina,19
Nevada,17
Kansas,17
Oklahoma,15
Louisiana,15
Nebraska,14
Utah,14
Kentucky,14
New_Mexico,10
Arkansas,9
New_Hampshire,9
Hawaii,7
Montana,7
West_Virginia,6
Idaho,6
Mississippi,6
South_Dakota,5
Maine,5
District_of_Columbia,5
North_Dakota,4
Rhode_Island,4
Delaware,3
Alaska,3
Wyoming,2
Vermont,1
