county_of_New_York,"Number_of_cases_per_100,000_people"
Trousdale_Tenn.,14593
Lake_Tenn.,9620
Dakota_Neb.,8466
Nobles_Minn.,7313
Lincoln_Ark.,7192
Buena_Vista_Iowa,6027
Colfax_Neb.,5911
Ford_Kan.,5382
Texas_Okla.,4484
Bledsoe_Tenn.,4198
Cass_Ind.,4191
Finney_Kan.,4156
Marion_Ohio,4123
Rockland_N.Y.,4121
Seward_Kan.,3966
Moore_Texas,3908
McKinley_N.M.,3769
Pickaway_Ohio,3671
Echols_Ga.,3655
Saline_Neb.,3625
Dawson_Neb.,3541
Westchester_N.Y.,3509
Crawford_Iowa,3362
Richmond_Va.,3300
Passaic_N.J.,3266
Jones_Texas,3202
Louisa_Iowa,3119
Nassau_N.Y.,3018
Manassas_Va.,3010
Accomack_Va.,3002
Union_N.J.,2937
Logan_Colo.,2909
Lowndes_Ala.,2872
St._Francis_Ark.,2871
Woodbury_Iowa,2870
Buckingham_Va.,2829
Orange_N.Y.,2786
Hudson_N.J.,2779
East_Carroll_La.,2754
Suffolk_N.Y.,2714
Neshoba_Miss.,2628
Liberty_Fla.,2606
Walker_Texas,2587
Randolph_Ga.,2582
Hall_Neb.,2554
Holmes_Miss.,2550
New_York_City_N.Y.,2512
Terrell_Ga.,2449
Tama_Iowa,2433
Apache_Ariz.,2422
