Week_ending,Number_of_deaths
Jan_3_2021,584454
Dec_27_2020,552984
Dec_20_2020,516839
Dec_13_2020,481991
Dec_6_2020,445806
Nov_29_2020,409496
Nov_22_2020,372454
Nov_15_2020,338755
Nov_8_2020,308257
Nov_1_2020,281637
Oct_25_2020,263348
Oct_18_2020,250893
Oct_11_2020,242134
Oct_4_2020,235457
Sep_27_2020,230294
Sep_20_2020,225620
Sep_13_2020,221427
Sep_6_2020,218320
Aug_30_2020,215374
Aug_23_2020,212836
Aug_16_2020,210443
Aug_9_2020,207962
Aug_2_2020,205559
Jul_26_2020,203281
Jul_19_2020,201043
Jul_12_2020,198613
Jul_5_2020,195853
Jun_28_2020,193055
Jun_21_2020,190248
Jun_14_2020,185651
Jun_7_2020,181875
May_31_2020,177346
May_24_2020,171621
May_17_2020,165968
May_10_2020,156442
May_3_2020,144551
Apr_26_2020,128533
Apr_19_2020,107597
Apr_12_2020,80856
Apr_5_2020,52075
Mar_29_2020,25354
Mar_22_2020,9031
Mar_15_2020,2378
Mar_8_2020,398
Mar_1_2020,38
Feb_23_2020,3
Feb_16_2020,1
