Month,Blockchain_size_in_gigabytes
Jan_05_2021,312.46
Jan_04_2021,312.24
Jan_03_2021,312.04
Jan_02_2021,311.83
Jan_01_2021,311.63
Dec_2020,311.43
Nov_2020,305.82
Oct_2020,300.32
Sep_2020,294.8
Aug_2020,289.34
Jul_2020,283.87
Jun_2020,278.56
May_2020,273.47
Apr_2020,267.91
Mar_2020,263.23
Feb_2020,258.8
Jan_2020,254.18
Dec_2019,249.85
Nov_2019,245.61
Oct_2019,241.14
Sep_2019,236.36
Aug_2019,231.73
Jul_2019,227.11
Jun_2019,222.29
May_2019,216.98
Apr_2019,211.03
Mar_2019,205.96
Feb_2019,201.6
Jan_2019,197.53
Dec_2018,193.06
Nov_2018,189.0
Oct_2018,184.89
Sep_2018,181.04
Aug_2018,177.5
Jul_2018,173.62
Jun_2018,169.84
May_2018,166.26
Apr_2018,163.01
Mar_2018,159.76
Feb_2018,155.65
Jan_2018,151.52
Dec_2017,146.43
Nov_2017,140.9
Oct_2017,136.51
Sep_2017,132.21
Aug_2017,128.3
Jul_2017,124.41
Jun_2017,119.92
May_2017,115.61
Apr_2017,111.17
Mar_2017,107.04
Feb_2017,102.86
Jan_2017,98.65
Dec_2016,94.66
Nov_2016,90.78
Oct_2016,86.98
Sep_2016,83.08
Aug_2016,79.75
Jul_2016,76.35
Jun_2016,73.1
May_2016,69.53
Apr_2016,65.82
Mar_2016,62.59
Feb_2016,59.51
Jan_2016,56.16
Dec_2015,53.16
Nov_2015,50.13
Oct_2015,47.59
Sep_2015,45.02
Aug_2015,42.64
Jul_2015,40.53
Jun_2015,38.0
May_2015,36.08
Apr_2015,34.25
Mar_2015,32.57
Feb_2015,30.9
Jan_2015,29.43
Dec_2014,27.76
Nov_2014,26.27
Oct_2014,24.85
Sep_2014,23.55
Aug_2014,22.34
Jul_2014,21.05
Jun_2014,19.98
May_2014,18.92
Apr_2014,17.83
Mar_2014,16.75
Feb_2014,15.51
Jan_2014,14.56
Dec_2013,13.69
Nov_2013,12.63
Oct_2013,11.71
Sep_2013,10.97
Aug_2013,10.25
Jul_2013,9.51
Jun_2013,8.94
May_2013,8.27
Apr_2013,7.47
Mar_2013,6.64
Feb_2013,5.86
Jan_2013,5.11
Dec_2012,4.52
Nov_2012,4.03
Oct_2012,3.6
Sep_2012,3.14
Aug_2012,2.73
Jul_2012,2.29
Jun_2012,1.93
May_2012,1.5
Apr_2012,1.21
Mar_2012,1.11
Feb_2012,1.02
Jan_2012,0.93
Dec_2011,0.84
Nov_2011,0.76
Oct_2011,0.69
Sep_2011,0.62
Aug_2011,0.53
Jul_2011,0.43
Jun_2011,0.32
May_2011,0.19
Apr_2011,0.13
Mar_2011,0.11
Feb_2011,0.08
Jan_2011,0.07
Dec_2010,0.06
Nov_2010,0.05
Oct_2010,0.04
Sep_2010,0.03
Aug_2010,0.03
Jul_2010,0.02
Jun_2010,0.02
May_2010,0.02
Apr_2010,0.01
Mar_2010,0.01
Feb_2010,0.01
Jan_2010,0.01
Dec_2009,0.01
Nov_2009,0.01
Oct_2009,0.01
Sep_2009,0.01
Aug_2009,0.0
Jul_2009,0.0
Jun_2009,0.0
May_2009,0.0
Apr_2009,0.0
Mar_2009,0.0
Feb_2009,0.0
Jan_2009,0.0
