State,Registrations_in_units
California,808377
Florida,591267
Ohio,406543
New_York,384622
Pennsylvania,366641
Texas,351367
Montana,338845
Illinois,314802
Wisconsin,283874
Michigan_,253040
Indiana,252280
Minnesota,234786
Washington,232371
Georgia,203985
Virginia,193813
Iowa,192617
North_Carolina,187849
Colorado,185875
Tennessee,184889
Arkansas,169796
Massachusetts,162989
Arizona,160486
New_Jersey,148363
Missouri_,135954
Oregon,134899
Oklahoma,129448
South_Dakota,124037
South_Carolina,116510
Maryland,113195
Kentucky,112177
Alabama,107730
Utah,105909
Kansas_,92328
Connecticut_,85689
New_Hampshire,79167
Nevada,74931
Idaho,66858
New_Mexico,60466
Nebraska,53832
Maine,51666
West_Virginia_,46763
Louisiana,41200
Hawaii,39856
North_Dakota,38696
Mississippi,31509
Vermont_,30404
Wyoming,28644
Delaware,28312
Alaska,28129
Rhode_Island,24175
Dist._of_Col.,4351
