Week_ending,Overall_number_of_cases
Jan_3_2021,26399030
Dec_27_2020,24852487
Dec_20_2020,23090136
Dec_13_2020,21449615
Dec_6_2020,19783739
Nov_29_2020,18134231
Nov_22_2020,16456357
Nov_15_2020,14699720
Nov_8_2020,12834822
Nov_1_2020,10792065
Oct_25_2020,9000456
Oct_18_2020,7546982
Oct_11_2020,6524917
Oct_4_2020,5792088
Sep_27_2020,5296135
Sep_20_2020,4866302
Sep_13_2020,4494040
Sep_6_2020,4186329
Aug_30_2020,3927459
Aug_23_2020,3701141
Aug_16_2020,3503597
Aug_9_2020,3324984
Aug_2_2020,3172906
Jul_26_2020,3038264
Jul_19_2020,2914451
Jul_12_2020,2801420
Jul_5_2020,2693061
Jun_28_2020,2583466
Jun_21_2020,2465777
Jun_14_2020,2343012
Jun_7_2020,2218607
May_31_2020,2098794
May_24_2020,1972937
May_17_2020,1842383
May_10_2020,1690110
May_3_2020,1514294
Apr_26_2020,1342103
Apr_19_2020,1140730
Apr_12_2020,918559
Apr_5_2020,674172
Mar_29_2020,418130
Mar_22_2020,189932
Mar_15_2020,60776
Mar_8_2020,13299
Mar_1_2020,2291
Feb_23_2020,177
Feb_16_2020,46
Feb_9_2020,41
Feb_2_2020,24
Jan_26_2020,3
