baseball_team,Hot_dog_price_in_U.S._dollars
Washington_Nationals,7.0
New_York_Mets,6.75
Los_Angeles_Dodgers,6.75
Chicago_Cubs,6.5
San_Francisco_Giants,6.5
Seattle_Mariners,6.5
Texas_Rangers,6.0
Milwaukee_Brewers,6.0
Kansas_City_Royals,5.75
Oakland_Athletics,5.75
Houston_Astros,5.5
Colorado_Rockies,5.5
Cincinnati_Reds,5.5
Boston_Red_Sox,5.25
San_Diego_Padres,5.25
Los_Angeles_Angels,5.0
Tampa_Bay_Rays,5.0
Detroit_Tigers,5.0
St._Louis_Cardinals,5.0
MLB_league_average,4.95
Chicago_White_Sox,4.5
Atlanta_Braves,4.25
Cleveland_Indians,4.25
Toronto_Blue_Jays,4.13
Minnesota_Twins,4.0
Philadelphia_Phillies,4.0
Pittsburgh_Pirates,3.5
New_York_Yankees,3.0
Miami_Marlins,3.0
Arizona_Diamondbacks,2.0
Baltimore_Orioles,1.5
