Month,Number_of_cases
Dec_17_2020,123813
Dec_16_2020,119779
Dec_15_2020,116087
Dec_14_2020,113095
Dec_13_2020,109758
Dec_12_2020,107116
Dec_11_2020,103564
Dec_10_2020,100489
Dec_9_2020,97357
Dec_8_2020,94799
Dec_7_2020,92649
Dec_6_2020,90603
Dec_5_2020,88858
Dec_4_2020,86743
Dec_3_2020,85140
Dec_2_2020,83535
Dec_1_2020,81949
Nov_30_2020,80481
Nov_29_2020,79352
Nov_28_2020,78354
Nov_27_2020,76718
Nov_26_2020,75395
Nov_25_2020,74204
Nov_24_2020,73021
Nov_23_2020,71654
Nov_22_2020,70485
Nov_21_2020,69635
Nov_20_2020,68362
Nov_19_2020,67105
Nov_18_2020,65808
Nov_17_2020,64551
Nov_16_2020,63331
Nov_15_2020,62136
Nov_14_2020,61078
Nov_13_2020,60000
Nov_12_2020,58963
Nov_11_2020,57952
Nov_10_2020,56958
Nov_9_2020,55892
Nov_8_2020,55121
Nov_7_2020,54230
Nov_6_2020,53180
Nov_5_2020,51753
Nov_4_2020,50530
Nov_3_2020,49594
Nov_2_2020,48241
Nov_1_2020,47299
Oct_31_2020,46351
Oct_30_2020,45225
Oct_29_2020,44034
Oct_28_2020,43174
Oct_27_2020,42157
Oct_26_2020,41412
Oct_25_2020,41135
Oct_24_2020,41092
Oct_23_2020,40275
Oct_22_2020,39415
Oct_21_2020,38536
Oct_20_2020,37674
Oct_19_2020,36884
Oct_18_2020,36182
Oct_17_2020,35723
Oct_16_2020,35290
Oct_15_2020,34812
Oct_14_2020,34357
Oct_13_2020,33877
Oct_12_2020,33443
Oct_11_2020,32981
Oct_10_2020,32726
Oct_9_2020,32440
Oct_8_2020,32027
Oct_7_2020,31607
Oct_6_2020,31155
Oct_5_2020,30724
Oct_4_2020,30291
Oct_3_2020,29978
Oct_2_2020,29639
Oct_1_2020,29271
Sep_30_2020,28838
Sep_29_2020,28400
Sep_28_2020,27949
Sep_27_2020,27465
Sep_26_2020,27108
Sep_25_2020,26714
Sep_24_2020,26226
Sep_23_2020,25619
Sep_22_2020,24967
Sep_21_2020,24376
Sep_20_2020,23840
Sep_19_2020,23429
Sep_18_2020,23008
Sep_17_2020,22531
Sep_16_2020,22015
Sep_15_2020,21456
Sep_14_2020,21017
Sep_13_2020,20635
Sep_12_2020,20339
Sep_11_2020,20037
Sep_10_2020,19689
Sep_9_2020,19318
Sep_8_2020,19025
Sep_7_2020,18696
Sep_6_2020,18399
Sep_5_2020,18175
Sep_4_2020,17977
Sep_3_2020,17772
Sep_2_2020,17578
Sep_1_2020,17419
Aug_31_2020,17218
Aug_30_2020,17097
Aug_29_2020,16993
Aug_28_2020,16904
Aug_27_2020,16795
Aug_26_2020,16724
Aug_25_2020,16644
Aug_24_2020,16563
Aug_23_2020,16488
Aug_22_2020,16413
Aug_21_2020,16324
Aug_20_2020,16237
Aug_19_2020,16150
Aug_18_2020,16063
Aug_17_2020,15949
Aug_16_2020,15853
Aug_15_2020,15763
Aug_14_2020,15636
Aug_13_2020,15524
Aug_12_2020,15408
Aug_11_2020,15247
Aug_10_2020,15111
Aug_9_2020,14956
Aug_8_2020,14826
Aug_7_2020,14736
Aug_6_2020,14593
Aug_5_2020,14419
Aug_4_2020,14301
Aug_3_2020,14179
Aug_2_2020,14062
Aug_1_2020,13984
Jul_31_2020,13920
Jul_30_2020,13862
Jul_29_2020,13778
Jul_28_2020,13713
Jul_27_2020,13635
Jul_26_2020,13571
Jul_25_2020,13547
Jul_24_2020,13520
Jul_23_2020,13483
Jul_22_2020,13429
Jul_21_2020,13394
Jul_20_2020,13357
Jul_19_2020,13325
Jul_18_2020,13297
Jul_17_2020,13254
Jul_16_2020,13222
Jul_15_2020,13170
Jul_14_2020,13128
Jul_13_2020,13094
Jul_12_2020,13061
Jul_11_2020,13039
Jul_10_2020,13015
Jul_09_2020,12981
Jul_08_2020,12940
Jul_07_2020,12914
Jul_06_2020,12901
Jul_05_2020,12892
Jul_04_2020,12881
Jul_03_2020,12868
Jul_02_2020,12849
Jul_01_2020,12834
Jun_30_2020,12822
Jun_29_2020,12798
Jun_28_2020,12768
Jun_27_2020,12757
Jun_26_2020,12738
Jun_25_2020,12715
Jun_24_2020,12683
Jun_23_2020,12638
Jun_22_2020,12619
Jun_21_2020,12573
Jun_20_2020,12540
Jun_19_2020,12502
Jun_18_2020,12458
Jun_17_2020,12412
Jun_16_2020,12336
Jun_15_2020,12290
Jun_14_2020,12250
Jun_13_2020,12228
Jun_12_2020,12201
Jun_11_2020,12141
Jun_10_2020,12093
Jun_09_2020,12053
Jun_08_2020,12025
Jun_07_2020,11979
Jun_06_2020,11965
Jun_05_2020,11950
Jun_04_2020,11915
Jun_03_2020,11873
Jun_02_2020,11819
Jun_01_2020,11763
May_31_2020,11727
May_30_2020,11705
May_29_2020,11672
May_28_2020,11626
May_27_2020,11587
May_26_2020,11535
May_25_2020,11472
May_24_2020,11420
May_23_2020,11384
May_22_2020,11348
May_21_2020,11275
May_20_2020,11244
May_19_2020,11172
May_18_2020,11107
May_17_2020,11026
May_16_2020,10976
May_15_2020,10941
May_14_2020,10850
May_13_2020,10786
May_12_2020,10715
May_11_2020,10657
May_10_2020,10578
May_09_2020,10518
May_08_2020,10453
May_07_2020,10384
May_06_2020,10260
May_05_2020,10153
May_04_2020,10030
May_03_2020,9907
May_02_2020,9829
May_01_2020,9712
Apr_30_2020,9559
Apr_29_2020,9409
Apr_28_2020,9269
Apr_27_2020,9133
Apr_26_2020,8914
Apr_25_2020,8792
Apr_24_2020,8656
Apr_23_2020,8491
Apr_22_2020,8259
Apr_21_2020,8030
Apr_20_2020,7828
Apr_19_2020,7613
Apr_18_2020,7499
Apr_17_2020,7393
Apr_16_2020,7225
Apr_15_2020,7047
Apr_14_2020,6848
Apr_13_2020,6590
Apr_12_2020,6434
Apr_11_2020,6277
Apr_10_2020,6137
Apr_09_2020,5995
Apr_08_2020,5855
Apr_07_2020,5554
Apr_06_2020,5207
Apr_05_2020,4783
Apr_04_2020,4625
Apr_03_2020,4313
Apr_02_2020,3840
Apr_01_2020,3458
Mar_31_2020,3176
Mar_30_2020,2921
Mar_29_2020,2608
Mar_28_2020,2480
Mar_27_2020,2280
Mar_26_2020,2063
Mar_25_2020,1892
Mar_24_2020,1741
Mar_23_2020,1602
Mar_22_2020,1470
Mar_21_2020,1408
Mar_20_2020,1360
Mar_19_2020,1257
Mar_18_2020,1150
Mar_17_2020,1067
Mar_16_2020,991
Mar_15_2020,917
Mar_14_2020,872
Mar_13_2020,835
Mar_12_2020,802
Mar_11_2020,758
Mar_10_2020,551
Mar_09_2020,295
Mar_08_2020,85
Mar_07_2020,37
Mar_06_2020,28
Mar_05_2020,26
Mar_04_2020,16
Jan_27_to_Mar_3_2020,13
