State,Number_of_earthquakes
Alaska,12053
California,4895
Hawaii,1533
Nevada,778
Washington,424
Idaho,404
Wyoming,217
Montana,186
Utah,139
Oregon,73
New_Mexico,38
Arkansas,34
Arizona,32
Colorado,24
Tennessee,22
Missouri,21
Texas,20
Illinois,17
Oklahoma,17
Maine,16
New_York,16
Alabama,15
Kentucky,15
South_Carolina,10
South_Dakota,10
Virginia,10
Nebraska,8
Ohio,8
Georgia,7
Indiana,6
New_Hampshire,6
Pennsylvania,6
Kansas,4
North_Carolina,3
Massachusetts,2
Michigan,2
Minnesota,2
Mississippi,2
New_Jersey,2
Louisiana,1
Rhode_Island,1
West_Virginia,1
Connecticut,0
Delaware,0
Florida,0
Iowa,0
Maryland,0
North_Dakota,0
Vermont,0
Wisconsin,0
