syndrome,Distribution_of_causes_of_death
Lower_respiratory_infections,10.4
HIV/AIDS,8.1
Diarrhoeal_diseases,7.4
Ischaemic_heart_disease,5.8
Malaria,4.6
Tuberculosis,4.6
Stroke,4.2
Preterm_birth_complications,3.9
Birth_asphyxia_and_birth_trauma,3.7
Road_injury,3.2
Protein-energy_malnutrition,2.4
Maternal_conditions,2.2
Congenital_anomalies,2.1
Meningitis,2.1
Cirrhosis_of_the_liver,2
Neonatal_sepsis_and_infections,2
Diabetes_mellitus,1.9
Chronic_obstructive_pulmonary_disease,1.3
Interpersonal_violence,1.2
Alzheimer_disease_and_other_dementias,1
