association_football_club,Kit_sponsorship_revenue_in_million_GBP
Manchester_United_(Chevrolet),64.0
Manchester_City_(Etihad),45.0
Chelsea_FC_(Yokohama),40.0
Liverpool_FC_(Standard_Chartered),40.0
Arsenal_FC_(Fly_Emirates),40.0
Tottenham_Hotspur_(AIA),35.0
West_Ham_United_(Betway),10.0
Everton_FC_(SportPesa),9.6
Wolverhampton_Wanderers_FC_(ManBetX),8.0
Southampton_FC_(LD_Sports),7.5
Burnley_(LoveBet),7.5
Crystal_Palace_(ManBetX),6.5
Newcastle_United_(Fun88),6.5
Watford_(Sportsbet.io),6.5
Aston_Villa_(W88),6.0
AFC_Bournemouth_(M88),5.0
Leicester_City_(King_Power),4.0
Sheffield_United_(USG),3.5
Norwich_City_(Dafabet),3.0
Brighton_(American_Express),1.5
