association_football_venue,Revenue_in_million_euros
FC_Schalke_04_(Veltins_Arena),6.0
FC_Bayern_Munich_(Allianz-Arena),6.0
Borussia_Dortmund_(Signal_Iduna_Park),5.8
Eintracht_Frankfurt_(Commerzbank-Arena),5.5
TSG_1899_Hoffenheim_(Wirsol_Rhein-Neckar-Arena),3.75
Fortuna_Dusseldorf_(Nerkur_Spielarena),3.75
RB_Leipzig_(Red_Bull_Arena),3.0
1._FC_Köln_(RheinEnergie_Stadion),3.0
SV_Werder_Bremen_(Weserstadion),3.0
Bayer_04_Leverkusen_(BayArena),2.5
1._FSV_Mainz_05_(Opel_Arena),1.9
FC_Augsburg_(WWK_Arena),1.5
SC_Paderborn_07_(Benteler-Arena),0.5
