Month,Number_of_Tumblr_blogs_in_millions
Apr_'20,496.1
Jan_'20,488.1
Oct_'19,480.1
Jul_'19,471.6
Apr_'19,463.5
Jan_'19,456.1
Oct_'18,441.4
Jul_'18,425.7
Apr_'18,409.0
Jan_'18,391.9
Oct_'17,373.0
Jul_'17,357.7
Apr_'17,345.0
Jan_'17,332.8
Oct_'16,319.8
Jul_'16,305.9
Apr_'16,291.7
Jan_'16,275.9
Oct_'15,260.5
Jul_'15,246.6
Apr_'15,227.1
Jan_'15,220.8
Oct_'14,207.3
Jul_'14,195.1
Apr_'14,181.1
Jan_'14,166.3
Oct_'13,141.4
Jul_'13,122.4
Apr_'13,101.8
Jan_'13,88.6
Oct_'12,76.4
Jul_'12,62.6
Mar_'12,50.0
Sep_'11,28.0
May_'11,17.5
