sports_season,TV_viewership_in_million_viewers
Championship_Game_-_Kentucky_vs._Connecticut_(Apr._7),21.2
Final_4_-_Kentucky_vs._Wisconsin_(Apr._5),16.25
Final_4_-_Connecticut_vs._Florida_(Apr._5),11.65
Elite_8_-_Kentucky_vs._Michigan_(Mar._30),14.64
Elite_8_-_Wisconsin_vs._Arizona_(Mar._29),9.97
Elite_8_-_Connecticut_vs._Michigan_St._(Mar._30),9.8
Elite_8_-_Dayton_vs._Florida_(Mar._29),7.2
Sweet_16_-_Kentucky_vs._Louisville_(Mar._28),10.09
Sweet_16_-_Tennessee_vs._Michigan_(Mar._28),8.32
Sweet_16_-_UCLA_vs._Florida_(Mar._27),7.23
Sweet_16_-_Dayton_vs._Stanford_(Mar._27),7.11
Sweet_16_-_Michigan_St._vs._Virginia_(Mar._28),5.09
Sweet_16_-_SDSU_vs._Arizona_(Mar._27),3.28
Sweet_16_-_Connecticut_vs._Iowa_St._(Mar._28),3.11
Sweet_16_-_Baylor_vs._Wisconsin_(Mar._27),3.03
