business,Percentage_dividend_yield
Repsol_SA,12.84
Bankia_SA,12.35
Sabadell_SA,9.88
Telefónica_SA,9.73
ACS_SA,9.54
Mediaset_SA,9.41
Naturgy_SA,9.41
Mapfre_SA,8.7
Enagas_SA,8.59
Endesa_SA,7.9
Acerinox_SA,7.58
Merlin_Prop_SA,6.98
REE_SA,6.63
Bankinter_SA,6.15
BBVA_SA,6.01
Caixabank_SA,5.5
Santander_SA,5.1
CIE_Automotive_SA,4.74
Iberdrola_SA,4.67
Accciona_SA,4.24
AENA_SA,4.07
Inditex_SA,3.68
Viscofan_SA,3.26
Ferrovial_SA,3.2
Ence_SA,2.99
Melia_Hotels_INTL_SA,2.86
Immobiliaria_Colonial_SA,2.76
Grifols_SA,1.37
Amadeus_IT_Group_SA,1.21
Siemens_Gamesa_SA,0.18
Cellnex_Telecom_SA,0.16
Indra_SA,0
IAG_(Iberia)_SA,0
Arcelormittal_SA,0
Técnicas_Reunidas_SA,0
