Hospital_(Location),Number_of_beds
Jackson_Memorial_Hospital_(Miami),5266
Florida_Hospital_Orlando,2473
New_York_Presbyterian_Hospital/Weill_Cornell_Medical_Center_(New_York_City),2428
Baptist_Medical_Center_(San_Antonio),1563
University_of_Pittsburgh_Medical_Center_Presbyterian,1540
Orlando_(Fla.)_Regional_Medical_Center,1530
Montefiore_Medical_Center-Moses_Division_Hospital_(Bronx_N.Y.),1526
Yale-New_Haven_(Conn.)_Hospital,1499
Barnes-Jewish_Hospital_(Saint_Louis),1394
Methodist_University_Hospital_(Memphis),1373
