Event_(network),Number_of_viewers_in_millions
NFL_Super_Bowl_XLIX_(CTV),8.26
IIHF_World_Junior_Championship_Gold_Medal_Canada_Vs._Russia_(TSN),5.95
MLB_ALCS_Game_6_Toronto_Vs._Kansas_City_(Sportsnet),5.08
CFL_103rd_Grey_Cup_(TSN),4.06
NHL_Playoffs_Round_1_Montreal_Vs._Ottawa_(CBC),3.77
FIFA_Women's_World_Cup_Quarterfinal_England_Vs._Canada_(CTV),2.97
Pan_Am_Games_Opening_Ceremonies_(CBC),1.66
IIHF_World_Championship_Gold_Medal_Canada_Vs._Russia_(TSN),1.35
Curling_-_Brier_Final_(TSN),1.25
Golf_-_Masters_Final_(Global),1.19
