Month,Case_fatality_rate
Jan_1,5
Dec_4,5.1
Nov_6,5.2
Oct_2,5.2
Sep_11,5.3
Sep_4,5.3
Aug_28,5.2
Aug_21,5.3
Aug_14,5.3
Aug_7,5.3
Jul_30,5.3
Jul_23,5.4
Jul_16,5.45
Jul_9,5.46
Jul_2,5.47
Jun_25,5.48
Jun_18,5.49
Jun_11,5.51
Jun_4,5.51
May_28,5.51
May_21,5.52
May_14,5.52
May_7,5.52
Apr_30,5.52
Apr_23,5.53
Apr_17,5.54
Apr_16,4.01
Apr_9,4.03
Apr_2,4.02
Mar_26,4.03
Mar_19,4
Mar_18,4
Mar_17,3.98
Mar_16,3.97
Mar_15,3.95
Mar_14,3.94
Mar_13,3.93
Mar_12,3.92
Mar_11,3.91
Mar_10,3.88
Mar_9,3.86
Mar_8,3.83
Mar_7,3.8
Mar_6,3.77
Mar_5,3.74
Mar_4,3.71
Mar_3,3.67
Mar_2,3.64
Mar_1,3.59
Feb_29,3.58
Feb_28,3.53
Feb_27,3.49
Feb_26,3.48
Feb_25,3.43
Feb_24,3.36
Feb_23,3.17
Feb_22,3.07
Feb_21,2.96
Feb_19,2.84
Feb_20,2.7
Feb_17,2.58
Feb_18,2.51
Feb_16,2.43
Feb_15,2.29
Feb_9,2.16
Feb_13,2.29
Feb_12,2.49
Feb_11,2.38
Feb_10,2.26
Feb_14,2.18
Feb_8,2.09
Feb_7,2.04
Feb_6,2.01
Feb_4,2.02
Feb_5,2.08
Feb_3,2.1
Feb_2,2.11
Jan_31,2.19
Feb_1,2.19
Jan_30,2.2
Jan_29,2.2
Jan_28,2.34
Jan_27,2.92
Jan_26,2.82
Jan_24,3.1
Jan_25,2.95
Jan_23,2.73
Jan_22,3.23
Jan_21,1.55
Jan_20,1.28
Jan_19,1.39
