Month,Index_score_(1987=100)
Nov_20,293.5
Oct_20,294.3
Sep_20,294.3
Aug_20,293.3
Jul_20,294.2
Jun_20,292.7
May_20,292.2
Apr_20,292.6
Mar_20,292.6
Feb_20,292.0
Jan_20,290.6
Dec_19,291.9
Nov_19,291.0
Oct_19,290.4
Sep_19,291.0
Aug_19,291.7
Jul_19,289.5
Jun_19,289.6
May_19,289.2
Apr_19,288.2
Mar_19,285.1
Feb_19,285.0
Jan_19,283.0
Dec_18,285.6
Nov_18,284.6
Oct_18,284.5
Sep_18,284.1
Aug_18,284.2
Jul_18,281.7
Jun_18,281.5
May_18,280.7
Apr_18,279.7
Mar_18,278.3
Feb_18,278.1
Jan_18,276.0
Dec_17,278.1
Nov_17,275.8
Oct_17,275.3
Sep_17,275.1
Aug_17,274.7
Jul_17,272.9
Jun_17,272.3
May_17,271.7
Apr_17,270.6
Mar_17,269.3
Feb_17,268.4
Jan_17,265.5
Dec_16,267.1
Nov_16,265.5
Oct_16,264.8
Sep_16,264.9
Aug_16,264.4
Jul_16,263.4
Jun_16,263.1
May_16,262.1
Apr_16,261.4
Mar_16,261.1
Feb_16,260.0
Jan_16,258.8
Dec_15,260.6
Nov_15,259.8
Oct_15,259.5
Sep_15,259.6
Aug_15,259.8
Jul_15,258.6
Jun_15,258.9
May_15,258.5
Apr_15,258.0
Mar_15,257.1
Feb_15,256.7
Jan_15,255.4
Dec_14,257.5
Nov_14,257.1
Oct_14,257.7
Sep_14,257.6
Aug_14,257.0
Jul_14,256.0
Jun_14,256.3
May_14,255.9
Apr_14,255.7
Mar_14,254.8
Feb_14,254.2
Jan_14,252.6
Dec_13,253.4
Nov_13,252.1
Oct_13,251.9
Sep_13,251.9
Aug_13,251.0
Jul_13,249.7
Jun_13,249.7
May_13,250.0
Apr_13,249.5
Mar_13,248.7
Feb_13,247.6
Jan_13,245.8
Dec_12,246.8
Nov_12,245.6
Oct_12,245.6
Sep_12,244.2
Aug_12,243.0
Jul_12,242.1
Jun_12,241.8
May_12,242.4
Apr_12,242.5
Mar_12,240.8
Feb_12,239.9
Jan_12,238.0
Dec_11,239.4
Nov_11,238.5
Oct_11,238.0
Sep_11,237.9
Aug_11,236.1
Jul_11,234.7
Jun_11,235.2
May_11,235.2
Apr_11,234.4
Mar_11,232.5
Feb_11,231.3
Jan_11,229.0
Dec_10,228.4
Nov_10,226.8
Oct_10,225.8
Sep_10,225.3
Aug_10,224.5
Jul_10,223.6
Jun_10,224.1
May_10,223.6
Apr_10,222.8
Mar_10,220.7
Feb_10,219.2
Jan_10,217.9
Dec_09,218.0
Nov_09,216.6
Oct_09,216.0
Sep_09,215.3
Aug_09,214.4
Jul_09,213.4
Jun_09,213.4
May_09,212.8
Apr_09,211.5
Mar_09,211.3
Feb_09,211.4
Jan_09,210.1
Dec_08,212.9
Nov_08,216.0
Oct_08,217.7
Sep_08,218.4
Aug_08,217.2
Jul_08,216.5
Jun_08,216.8
May_08,215.1
Apr_08,214.0
Mar_08,212.1
Feb_08,211.4
Jan_08,209.8
Dec_07,210.9
Nov_07,209.7
Oct_07,208.9
Sep_07,208.0
Aug_07,207.3
Jul_07,206.1
Jun_07,207.3
May_07,206.2
Apr_07,205.4
Mar_07,204.4
Feb_07,203.1
Jan_07,201.6
Dec_06,202.7
Nov_06,201.1
Oct_06,200.4
Sep_06,200.1
Aug_06,199.2
Jul_06,198.5
Jun_06,198.5
May_06,197.7
Apr_06,196.5
Mar_06,195.0
Feb_06,194.2
Jan_06,193.4
Dec_05,194.1
Nov_05,193.6
Oct_05,193.3
Sep_05,193.1
Aug_05,192.6
Jul_05,192.2
Jun_05,192.2
May_05,192.0
Apr_05,191.6
Mar_05,190.5
Feb_05,189.6
Jan_05,188.9
Dec_04,189.9
Nov_04,189.0
Oct_04,188.6
Sep_04,188.1
Aug_04,187.4
Jul_04,186.8
Jun_04,186.8
May_04,186.5
Apr_04,185.7
Mar_04,184.6
Feb_04,183.8
Jan_04,183.1
Dec_03,183.5
Nov_03,182.7
Oct_03,182.6
Sep_03,182.5
Aug_03,181.6
Jul_03,181.3
Jun_03,181.3
May_03,181.5
Apr_03,181.2
Mar_03,179.9
Feb_03,179.3
Jan_03,178.4
Dec_02,178.5
Nov_02,178.2
Oct_02,177.9
Sep_02,177.6
Aug_02,176.4
Jul_02,175.9
Jun_02,176.2
May_02,176.2
Apr_02,175.7
Mar_02,174.5
Feb_02,173.8
Jan_02,173.3
Dec_01,173.4
Nov_01,173.6
Oct_01,174.3
Sep_01,174.6
Aug_01,174.0
Jul_01,173.3
Jun_01,174.4
May_01,174.2
Apr_01,173.1
Mar_01,172.2
Feb_01,172.0
Jan_01,171.1
Dec_00,172.2
Nov_00,172.1
Oct_00,171.6
Sep_00,171.7
Aug_00,170.5
Jul_00,170.5
Jun_00,171.1
May_00,170.7
Apr_00,170.1
Mar_00,168.4
Feb_00,167.5
Jan_00,166.6
Dec_99,167.3
Nov_99,166.7
Oct_99,166.5
Sep_99,166.2
Aug_99,165.5
Jul_99,165.1
Jun_99,165.6
May_99,165.6
Apr_99,165.2
Mar_99,164.1
Feb_99,163.7
Jan_99,163.4
Dec_98,164.4
Nov_98,164.4
Oct_98,164.5
Sep_98,164.4
Aug_98,163.7
Jul_98,163.0
Jun_98,163.4
May_98,163.5
Apr_98,162.6
Mar_98,160.8
Feb_98,160.3
Jan_98,159.5
Dec_97,160.0
Nov_97,159.6
Oct_97,159.5
Sep_97,159.3
Aug_97,158.5
Jul_97,157.5
Jun_97,157.5
May_97,156.9
Apr_97,156.3
Mar_97,155.4
Feb_97,155.0
Jan_97,154.4
Dec_96,154.4
Nov_96,153.9
Oct_96,153.8
Sep_96,153.8
Aug_96,153.1
Jul_96,152.4
Jun_96,153.0
May_96,152.9
Apr_96,152.6
Mar_96,151.5
Feb_96,150.9
Jan_96,150.2
Dec_95,150.7
Nov_95,149.8
Oct_95,149.8
Sep_95,150.6
Aug_95,149.9
Jul_95,149.1
Jun_95,149.8
May_95,149.6
Apr_95,149.0
Mar_95,147.5
Feb_95,146.9
Jan_95,146.0
Dec_94,146.0
Nov_94,145.3
Oct_94,145.2
Sep_94,145.0
Aug_94,144.7
Jul_94,144.0
Jun_94,144.7
May_94,144.7
Apr_94,144.2
Mar_94,142.5
Feb_94,142.1
Jan_94,141.3
Dec_93,141.9
Nov_93,141.6
Oct_93,141.8
Sep_93,141.9
Aug_93,141.3
Jul_93,140.7
Jun_93,141.0
May_93,141.1
Apr_93,140.6
Mar_93,139.3
Feb_93,138.8
Jan_93,137.9
Dec_92,139.2
Nov_92,139.7
Oct_92,139.9
Sep_92,139.4
Aug_92,138.9
Jul_92,138.8
Jun_92,139.3
May_92,139.3
Apr_92,138.8
Mar_92,136.7
Feb_92,136.3
Jan_92,135.6
Dec_91,135.7
Nov_91,135.6
Oct_91,135.1
Sep_91,134.6
Aug_91,134.1
Jul_91,133.8
Jun_91,134.1
May_91,133.5
Apr_91,133.1
Mar_91,131.4
Feb_91,130.9
Jan_91,130.2
Dec_90,129.9
Nov_90,130.0
Oct_90,130.3
Sep_90,129.3
Aug_90,128.1
Jul_90,126.8
Jun_90,126.7
May_90,126.2
Apr_90,125.1
Mar_90,121.4
Feb_90,120.2
Jan_90,119.5
Dec_89,118.8
Nov_89,118.5
Oct_89,117.5
Sep_89,116.6
Aug_89,115.8
Jul_89,115.5
Jun_89,115.4
May_89,115.0
Apr_89,114.3
Mar_89,112.3
Feb_89,111.8
Jan_89,111.0
Dec_88,110.3
Nov_88,110.0
Oct_88,109.5
Sep_88,108.4
Aug_88,107.9
Jul_88,106.7
Jun_88,106.6
May_88,106.2
Apr_88,105.8
Mar_88,104.1
Feb_88,103.7
Jan_88,103.3
Dec_87,103.3
Nov_87,103.4
Oct_87,102.9
Sep_87,102.4
Aug_87,102.1
Jul_87,101.8
Jun_87,101.9
May_87,101.9
Apr_87,101.8
Mar_87,100.6
Feb_87,100.4
Jan_87,100.0
