Brand/_segment,Sales_in_million_U.S._dollars
Gillete_Fusion/_cartridges,232.2
Philips_Norelco/_electric_shaver_groomer,224.8
Gillette_Mach3/_cartridges,221.8
Degree_Men's/_deodorant,194.6
Gillette_Fusion_ProGlide/_cartridges,166.4
Old_Spice_Red_Zone/_toiletries_and_grooming,137.0
Just_for_Men's/_hair_coloring,127.3
Axe/_liquid_body_wash,124.6
Old_Spice_High_Endurance/_deodorant,124.4
Axe_Dry/_deodorants,90.7
Gillette_Fusion_ProGlide_Power_/_Cartridges,86.8
Dove_Men+Care/_liquid_body_wash,86.7
Edge/_shaving_cream,79.5
Edge/_toiletries_and_grooming,78.7
Old_Spice_Red_Zone/_deodorants,76.1
Gillette_Fusion_Power/_cartridges,75.8
Gillette_Custom_Plus/_disposables,75.5
Old_Spice/_toiletries_and_grooming,74.3
Gillette_Mach3_Turbo/_cartridges,68.7
Dove_Men+Care/_deodorant,67.3
