Month,Number_of_unique_visitors_in_millions
Aug_'20,281.5
Jul_'20,267.0
June_'20,241.5
May_'20,273.5
Apr_'20,276.0
Mar_'20,255.5
Feb_'20,227.5
Jan_'20,243.5
Dec_'19,287.0
Nov_'19,233.5
Oct_'19,233.5
Sep_'19,219.0
Aug_'19,215.5
Jul_'19,214.5
June_'19,212.5
May_'19,258.6
Apr_'19,249.91
Feb_'19,241.34
Jan_'19,259.45
Nov_'18,257.53
Oct_'18,261.0
Sep_'18,249.5
Aug_'18,251.0
Jul_'18,236.0
Jun_'18,233.0
May_'18,247.53
Dec_'17,315.0
Oct_'17,289.5
Aug_'17,232.0
Jun_'17,198.9
Feb_'17,190.7
Oct_'16,202.0
Sep_'16,204.0
Aug_'16,210.0
Jul_'16,202.0
Jun_'16,212.5
May_'16,208.5
