State,Black_elected_officials
Florida,56
Minnesota,49
Maine,44
Rhode_Island,37
Alabama,33
New_Mexico,30
Idaho,30
Kentucky,27
New_York,25
District_of_Columbia,25
Massachusetts,21
Oregon,20
Tennessee,19
South_Dakota,18
Vermont,18
Mississippi,18
New_Hampshire,17
North_Dakota,17
Connecticut,13
Arkansas,13
Illinois,12
California,9
West_Virginia,8
Kansas,8
Maryland,7
Iowa,7
Nebraska,7
Ohio,6
Delaware,6
Indiana,5
New_Jersey,3
Washington,3
Pennsylvania,3
Oklahoma,2
Michigan,2
Nevada,2
Colorado,2
Montana,2
Alaska,1
Hawaii,1
Arizona,1
Virginia,1
Wisconsin,1
Utah,1
Texas,0
Georgia,0
North_Carolina,0
Louisiana,0
South_Carolina,0
Wyoming,0
Missouri,0
