Target_company_-_bidder_company,Deal_value_in_billion_euros
Willis_Towers_Watson_Public_Limited_Company_-_Aon_plc,31.1
ThyssenKrupp_Elevator_AG_-_Cinven_Partners_LLP;_Advent_International,17.2
Virgin_Media_Inc;_Telefonica_O2_Holdings_Limited_-_Virgin_Mobile_Inc./_Telefonica_O2_Europe_Plc_JV,11.5
Ingenico_Group_S.A._-_Worldline_SA,9.2
Bombardier_Transportation_GmbH_-_Alstom_SA,7.6
Sunrise_Communications_AG_-_Liberty_Global_Plc,6.1
CPA_Global_Limited_-_Clarivate_Analytics_Plc,6.0
Borealis_AG_(39_Stake)_-_OMV_AG,5.7
iQ_Student_Accommodation_Limited_-_Blackstone_Group_L.P,5.5
UBI_Banca_S.p.A_(99.92_Stake)_-_Intesa_Sanpaolo_S.p.A.,5.5
