Month,Price_in_GBP_per_kilogram
Oct_'19,1.27
Sep_'19,1.34
Aug_'19,1.25
Jul_'19,1.6
Jun_'19,1.45
May_'19,1.23
Apr_'19,1.48
Mar_'19,2.15
Oct_'18,1.19
Sep_'18,1.38
Aug_'18,1.32
Jul_'18,1.35
Jun_'18,1.38
May_'18,1.81
Apr_'18,2.35
Mar_'18,2.51
Oct_'17,1.34
Sep_'17,1.21
Aug_'17,1.25
Jul_'17,1.22
Jun_'17,1.15
May_'17,1.15
Apr_'17,1.2
Mar_'17,1.65
Oct_'16,1.46
Sep_'16,1.3
Aug_'16,1.34
Jul_'16,1.12
Jun_'16,1.06
May_'16,1.29
Apr_'16,1.81
Mar_'16,4.01
Oct_'15,1.21
Sep_'15,1.2
Aug_'15,1.24
Jul_'15,1.12
Jun_'15,1.19
May_'15,1.32
Apr_'15,1.99
Mar_'15,2.68
