amusement_park,Attendance_change
OCT_Happy_Valley_Beijing_China,29.6
Everland_South_Korea,12.9
Chimelong_Ocean_Kingdom_China,8.4
Islands_of_Adventure_USA,6
Chimelong_Paradise_China,4.8
Universal_Studios_Orlando_USA,2
Disney's_Hollywood_Studios_USA,2
Universal_Studios_Japan,1.4
Disney's_Animal_Kingdom_USA,1
Magic_Kingdom_(Walt_Disney_World)_USA,0.5
Nagashima_Spa_Land_Japan,0.5
Europa_Park_Germany,0.5
Disney's_California_Adventure_USA,0
Epcot_(Walt_Disney_World)_USA,0
Tokyo_Disneyland_Japan,0
Disneyland_Anaheim_USA,0
Tokyo_Disney_Sea_Japan,0
Universal_Studios_Hollywood_USA,0
Lotte_World_South_Korea,-0.1
Walt_Disney_Studios_France,-1
Disneyland_Park_France,-1
Ocean_Park_Hong_Kong_S.A.R.,-1.7
De_Efteling_the_Netherlands,-1.7
Shanghai_Disneyland_China,-5
Hong_Kong_Disneyland_Hong_Kong_S.A.R.,-15
