Response,Share_of_outdoor_participants
Get_exercise,64
Be_with_family_and_friends,56
Keep_physically_fit,50
Observe_scenic_beauty,48
Be_close_to_nature,47
Enjoy_the_sounds_and_smells_of_nature,46
Get_away_from_the_usual_demands,41
Be_with_people_who_enjoy_the_same_things_I_do,33
Experience_excitement_and_adventure,32
Experience_solitude,25
Be_with_people_who_share_my_values,20
Develop_my_skills_and_abilities,20
Gain_a_sense_of_accomplishment,19
Because_it_is_cool,17
Gain_a_sense_of_self-confidence,16
Talk_to_new_and_varied_people,9
Other_reasons,4
