type,Income_in_NOK
Couples_with_children_oldest_child_18_years_and_older,1029400
Couples_with_children_7-17_years,918600
Couples_without_children_oldest_person_45-64_years,792100
Couples_with_children_0-6_years,787700
Couples_without_children_oldest_person_under_45_years,629900
Couples_without_children_oldest_person_65_years_and_older,590200
Single_mother/father_with_children_18_years_and_older,566600
Single_mother/father_with_children_0-17_years,421200
Singles_45-64_years,339000
Singles_under_45_years,303800
Singles_65_years_and_older,274000
