Response,Share_of_internet_users
Using_text_messaging_or_instant_messaging,92.3
Using_e-mail,90.3
Watching_video_online,74.3
Using_online_social_networks,73.7
Shopping_making_reservations_or_using_other_consumer_services_online,72.2
Using_online_financial_services_(banking_investing_paying_bills_etc.),69.9
Streaming_or_downloading_music_radio_podcasts_etc.,55.9
Participating_in_online_video_calls_or_conferences,50.8
Requesting_services_provided_by_other_people_via_the_internet,33.8
Working_remotely_via_internet,23.8
Searching_for_a_job_online,20.5
Interacting_with_household_equipment_via_internet,17.5
Publishing_or_uploading_blog_posts_videos_or_other_original_content,16.7
Selling_goods_via_the_internet,11.3
Offering_services_for_sales_via_the_internet,7.6
