Month,Units_sold
Dec_19,2901
Nov_19,2874
Oct_19,2513
Sep_19,6863
Aug_19,1798
Jul_19,4435
Jun_19,4015
May_19,4643
Apr_19,3628
Mar_19,11023
Feb_19,2226
Jan_19,3887
Dec_18,2010
Nov_18,2872
Oct_18,3281
Sep_18,7991
Aug_18,1786
Jul_18,3431
Jun_18,5144
May_18,4408
Apr_18,4024
Mar_18,9050
Feb_18,2133
Jan_18,3488
Dec_17,2180
Nov_17,2849
Oct_17,3016
Sep_17,8301
Aug_17,2054
Jul_17,3206
Jun_17,4685
May_17,4028
Apr_17,2789
Mar_17,12977
Feb_17,2120
Jan_17,3250
Dec_16,2653
Nov_16,3030
Oct_16,3515
Sep_16,9108
Aug_16,2593
Jul_16,4311
Jun_16,6005
May_16,5783
Apr_16,4639
Mar_16,13734
Feb_16,3046
Jan_16,4574
Dec_15,4775
Nov_15,4216
Oct_15,4683
Sep_15,12496
Aug_15,2863
Jul_15,5496
Jun_15,7466
May_15,6301
Apr_15,6458
Mar_15,16770
Feb_15,3074
Jan_15,5414
Dec_14,5182
Nov_14,5925
Oct_14,5748
Sep_14,14270
Aug_14,3003
Jul_14,5179
