asset_manager,Total_AUM_in_million_U.S._dollars
APG_(Netherlands),462592
Aegon_Asset_Management_(Netherlands),315628
NN_Investment_Partners_(Netherlands),246090
PGGM_(Netherlands),211000
Robeco_(Netherlands),161886
MN_(Netherlands),129006
Achmea_Investment_Management_(Netherlands),128995
Candriam_Investors_Group_(Belgium),114895
KBC_Asset_Management_(Belgium),98465
CVC_Capital_Partners_(Luxembourg/UK),65517
Kempen_Capital_Management_(Netherlands),58889
ASR_Vermogensbeheer_(Netherlands),56224
Actiam_(Netherlands),56105
Degroof_Petercam_Asset_Management_(Belgium),50549
Quilvest_(Luxembourg),36000
InsingerGilissen_(Netherlands),23700
SPF_Beheer_(Netherlands),20665
DMFCO_-_Dutch_Mortgage_Funding_Co._(Netherlands),12400
Sparinvest_(Luxembourg),11600
Bouwinvest_(Netherlands),11278
TKP_Investments_(Netherlands),0
