Month,Weekly_hours_of_work_in_millions
Oct_20,960.0
Sep_20,925.0
Aug_20,891.0
Jul_20,855.1
Jun_20,841.9
May_20,870.9
Apr_20,953.4
Mar_20,1029.2
Feb_20,1052.2
Jan_20,1051.1
Dec_19,1050.1
Nov_19,1054.1
Oct_19,1055.7
Sep_19,1052.6
Aug_19,1049.2
Jul_19,1049.8
Jun_19,1052.6
May_19,1052.4
Apr_19,1054.1
Mar_19,1052.9
Feb_19,1052.9
Jan_19,1047.5
Dec_18,1042.0
Nov_18,1040.1
Oct_18,1044.8
Sep_18,1042.7
Aug_18,1041.1
Jul_18,1035.2
Jun_18,1033.6
May_18,1032.5
Apr_18,1029.6
Mar_18,1031.9
Feb_18,1031.7
Jan_18,1034.6
Dec_17,1026.9
Nov_17,1028.5
Oct_17,1024.9
Sep_17,1024.5
Aug_17,1030.6
Jul_17,1033.1
Jun_17,1034.8
May_17,1029.5
Apr_17,1029.9
Mar_17,1029.3
Feb_17,1029.1
Jan_17,1027.0
Dec_16,1022.9
Nov_16,1019.1
Oct_16,1014.8
Sep_16,1018.9
Aug_16,1016.2
Jul_16,1018.3
Jun_16,1016.5
May_16,1018.0
Apr_16,1014.7
Mar_16,1013.9
Feb_16,1012.9
Jan_16,1014.5
Dec_15,1019.0
Nov_15,1014.3
Oct_15,1008.6
Sep_15,999.3
Aug_15,1000.1
Jul_15,997.5
Jun_15,999.0
May_15,997.8
Apr_15,1000.2
Mar_15,1000.3
Feb_15,999.0
Jan_15,996.7
Dec_14,997.5
Nov_14,996.0
Oct_14,996.3
Sep_14,991.6
Aug_14,990.2
Jul_14,987.2
Jun_14,988.4
May_14,988.0
Apr_14,983.8
Mar_14,978.9
Feb_14,976.1
Jan_14,970.1
Dec_13,970.1
Nov_13,971.9
Oct_13,970.6
Sep_13,968.4
Aug_13,964.3
Jul_13,963.1
Jun_13,957.1
May_13,955.5
Apr_13,953.7
Mar_13,954.5
Feb_13,954.3
Jan_13,954.8
Dec_12,953.7
Nov_12,947.1
Oct_12,953.5
Sep_12,950.8
Aug_12,941.8
Jul_12,940.1
Jun_12,941.3
May_12,944.4
Apr_12,935.5
Mar_12,934.9
Feb_12,932.3
Jan_12,931.2
Dec_11,926.0
Nov_11,927.8
Oct_11,929.0
Sep_11,927.0
Aug_11,928.4
Jul_11,927.3
Jun_11,921.4
May_11,921.6
Apr_11,922.4
Mar_11,931.3
Feb_11,935.7
Jan_11,932.7
Dec_10,930.9
Nov_10,922.0
Oct_10,922.6
Sep_10,926.9
Aug_10,925.0
Jul_10,926.2
Jun_10,922.3
May_10,916.4
Apr_10,913.8
Mar_10,914.4
Feb_10,918.6
Jan_10,914.4
Dec_09,915.6
Nov_09,916.2
Oct_09,919.3
Sep_09,915.2
Aug_09,910.7
Jul_09,913.7
Jun_09,920.1
May_09,923.4
Apr_09,924.3
Mar_09,923.5
Feb_09,928.2
Jan_09,936.8
Dec_08,939.5
Nov_08,941.0
Oct_08,942.1
Sep_08,945.2
Aug_08,948.0
Jul_08,950.1
Jun_08,944.6
May_08,951.2
Apr_08,950.9
Mar_08,955.1
Feb_08,946.2
Jan_08,943.1
Dec_07,943.1
Nov_07,944.7
Oct_07,944.9
Sep_07,943.1
Aug_07,943.0
Jul_07,941.2
Jun_07,941.2
May_07,939.9
Apr_07,936.4
Mar_07,937.1
Feb_07,937.3
Jan_07,938.2
Dec_06,935.6
Nov_06,932.6
Oct_06,932.0
Sep_06,931.8
Aug_06,934.3
Jul_06,931.8
Jun_06,930.5
May_06,931.1
Apr_06,932.0
Mar_06,931.7
Feb_06,932.1
Jan_06,931.3
Dec_05,929.3
Nov_05,928.4
Oct_05,928.3
Sep_05,929.5
Aug_05,924.8
Jul_05,925.1
Jun_05,922.9
May_05,923.0
Apr_05,923.6
Mar_05,923.8
Feb_05,926.4
Jan_05,924.2
Dec_04,923.0
Nov_04,919.3
Oct_04,916.0
Sep_04,911.9
Aug_04,908.9
Jul_04,907.9
Jun_04,909.8
May_04,911.4
Apr_04,911.5
Mar_04,913.1
Feb_04,909.1
Jan_04,905.2
Dec_03,903.9
Nov_03,905.2
Oct_03,907.4
Sep_03,908.3
Aug_03,908.1
Jul_03,908.6
Jun_03,907.2
May_03,905.5
Apr_03,905.3
Mar_03,904.6
Feb_03,901.7
Jan_03,903.5
Dec_02,905.3
Nov_02,906.4
Oct_02,904.3
Sep_02,903.9
Aug_02,894.2
Jul_02,898.9
Jun_02,897.4
May_02,908.3
Apr_02,903.9
Mar_02,901.5
Feb_02,900.1
Jan_02,899.7
Dec_01,903.5
Nov_01,903.5
Oct_01,904.2
Sep_01,904.9
Aug_01,906.4
Jul_01,905.8
Jun_01,906.4
May_01,906.5
Apr_01,903.4
Mar_01,900.5
Feb_01,904.8
Jan_01,908.0
Dec_00,903.4
Nov_00,896.7
Oct_00,894.8
Sep_00,896.0
Aug_00,899.8
Jul_00,896.0
Jun_00,895.3
May_00,893.3
Apr_00,899.0
Mar_00,884.4
Feb_00,888.2
Jan_00,889.8
Dec_99,897.0
Nov_99,894.6
Oct_99,892.6
Sep_99,894.8
Aug_99,893.4
Jul_99,892.3
Jun_99,890.6
May_99,887.3
Apr_99,886.2
Mar_99,888.3
Feb_99,888.0
Jan_99,887.2
Dec_98,883.2
Nov_98,888.5
Oct_98,888.2
Sep_98,887.6
Aug_98,885.4
Jul_98,884.6
Jun_98,884.1
May_98,885.1
Apr_98,885.9
Mar_98,884.1
Feb_98,880.4
Jan_98,881.1
Dec_97,879.8
Nov_97,884.5
Oct_97,882.9
Sep_97,880.2
Aug_97,877.9
Jul_97,877.0
Jun_97,878.3
May_97,878.1
Apr_97,877.5
Mar_97,873.7
Feb_97,870.2
Jan_97,867.8
Dec_96,866.1
Nov_96,869.2
Oct_96,865.8
Sep_96,863.3
Aug_96,863.5
Jul_96,862.3
Jun_96,862.8
May_96,860.1
Apr_96,858.6
Mar_96,859.9
Feb_96,859.9
Jan_96,861.8
Dec_95,859.7
Nov_95,854.7
Oct_95,854.1
Sep_95,854.9
Aug_95,855.5
Jul_95,855.1
Jun_95,854.2
May_95,855.9
Apr_95,854.4
Mar_95,852.4
Feb_95,853.5
Jan_95,854.5
Dec_94,853.0
Nov_94,847.1
Oct_94,846.4
Sep_94,846.3
Aug_94,843.9
Jul_94,841.1
Jun_94,839.2
May_94,840.4
Apr_94,842.1
Mar_94,837.1
Feb_94,836.8
Jan_94,829.3
Dec_93,831.6
Nov_93,826.4
Oct_93,832.6
Sep_93,832.4
Aug_93,833.5
Jul_93,834.1
Jun_93,832.6
May_93,830.4
Apr_93,829.6
Mar_93,832.3
Feb_93,832.9
Jan_93,834.1
Dec_92,832.8
Nov_92,837.2
Oct_92,837.7
Sep_92,840.4
Aug_92,841.4
Jul_92,843.5
Jun_92,847.6
May_92,847.2
Apr_92,846.9
Mar_92,847.2
Feb_92,848.8
Jan_92,850.1
Dec_91,851.9
Nov_91,854.2
Oct_91,856.9
Sep_91,859.5
Aug_91,862.6
Jul_91,866.1
Jun_91,869.8
May_91,873.8
Apr_91,877.6
Mar_91,881.4
Feb_91,885.2
Jan_91,889.0
Dec_90,892.4
Nov_90,895.8
Oct_90,898.8
Sep_90,901.8
Aug_90,904.1
Jul_90,905.8
Jun_90,906.6
May_90,907.3
Apr_90,907.7
Mar_90,908.1
Feb_90,908.6
Jan_90,908.7
Dec_89,908.8
Nov_89,908.1
Oct_89,907.3
Sep_89,906.6
Aug_89,905.8
Jul_89,904.9
Jun_89,904.1
May_89,903.2
Apr_89,901.4
Mar_89,898.9
Feb_89,895.9
Jan_89,893.0
Dec_88,890.2
Nov_88,887.9
Oct_88,885.7
Sep_88,883.1
Aug_88,880.8
