Month,Health_index_(2013_=_100)
Aug_'20,110.2
Jul_'20,110.16
Jun_'20,110.05
May_'20,110.1
Apr_'20,110.22
Mar_'20,109.96
Feb_'20,109.87
Jan_'20,109.72
Dec_'19,109.18
Nov_'19,109.0
Oct'_19,108.98
Sep_'19,108.58
Aug_'19,109.07
Jul_'19,109.07
Jun_'19,109.02
May_'19,108.89
Apr_'19,108.98
Mar_'19,109.04
Feb_'19,108.78
Jan_'19,108.5
Dec_'18,108.45
Nov_'18,108.48
Oct_'18,108.26
Sep_'18,107.52
Aug_'18,107.55
Jul_'18,107.44
Jun_'18,107.01
May_'18,106.99
Apr_'18,106.89
Mar_'18,106.71
Feb_'18,106.54
Jan_'18,106.37
