Metropolitan_Area,Land_Area_in_square_kilometers
Riverside-San_Bernardino-Ontario_CA,70612
Phoenix-Mesa-Scottsdale_AZ,37725
Albuquerque_NM,24042
Dallas-Fort_Worth-Arlington_TX,24029
Tucson_AZ,23794
Atlanta-Sandy_Springs-Roswell_GA,22498
Denver-Aurora-Lakewood_CO,21616
New_York-Newark-Jersey_City_NY-NJ-PA,21480
Houston-The_Woodlands-Sugar_Land_TX,21388
Bakersfield_CA,21062
Las_Vegas-Henderson-Paradise_NV,20439
St._Louis_MO-IL,20366
Salt_Lake_City_UT,19901
Minneapolis-St._Paul-Bloomington_MN-WI,19779
San_Antonio-New_Braunfels_TX,18941
Kansas_City_MO-KS,18793
Chicago-Naperville-Elgin_IL-IN-WI,18638
Portland-Vancouver-Hillsboro_OR-WA,17311
Nashville-Davidson--Murfreesboro--Franklin_TN,16320
Tulsa_OK,16237
